Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Diving Women's Plain High,Summer,F,Gold,109126.0,55189.0,17.0,,,1920.0
Diving Women's Platform,Summer,F,Gold,121501.0,61434.0,18.0,162.0,53.0,1976.0
Diving Women's Springboard,Summer,F,Gold,86376.0,43787.0,21.0,161.0,52.0,1972.0
Diving Women's Synchronized Platform,Summer,F,Gold,138293.0,69477.0,16.5,157.0,47.0,2008.0
Diving Women's Synchronized Springboard,Summer,F,Gold,199400.0,100177.0,23.5,163.0,51.5,2008.0
"Equestrianism Mixed Dressage, Individual",Summer,F,Gold,246401.0,123381.0,29.0,172.0,57.0,1996.0
"Equestrianism Mixed Dressage, Team",Summer,F,Gold,209001.0,104923.0,32.0,169.0,63.0,2000.0
"Equestrianism Mixed Jumping, Team",Summer,F,Gold,141405.5,71026.5,38.0,168.0,57.5,2006.0
"Equestrianism Mixed Three-Day Event, Team",Summer,F,Gold,192933.5,96918.5,33.0,167.0,57.0,1988.0
"Fencing Women's Foil, Individual",Summer,F,Gold,176002.5,88457.0,26.0,168.5,60.0,1974.0
"Fencing Women's Foil, Team",Summer,F,Gold,171653.5,86257.5,25.5,169.0,59.0,1980.0
"Fencing Women's Sabre, Individual",Summer,F,Gold,266284.5,133240.0,22.5,173.0,68.0,2010.0
"Fencing Women's Sabre, Team",Summer,F,Gold,155755.5,78450.0,21.5,168.0,55.5,2012.0
"Fencing Women's epee, Individual",Summer,F,Gold,167574.0,84193.0,28.0,178.0,69.0,2006.0
"Fencing Women's epee, Team",Summer,F,Gold,141646.0,71060.0,27.0,174.0,62.0,2004.0
Figure Skating Mixed Ice Dancing,Winter,F,Gold,121186.0,61272.0,26.0,164.0,50.5,1994.0
Figure Skating Mixed Pairs,Summer,F,Gold,102965.0,52075.5,29.0,165.0,58.0,1914.0
Figure Skating Mixed Pairs,Winter,F,Gold,132222.0,66544.0,24.0,159.0,45.0,1976.0
Figure Skating Mixed Team,Winter,F,Gold,140227.0,70401.0,21.0,159.0,46.5,2014.0
Figure Skating Women's Singles,Summer,F,Gold,172443.5,86729.5,25.5,,,1914.0
Figure Skating Women's Singles,Winter,F,Gold,97344.0,49251.5,19.0,162.0,50.0,1974.0
Football Women's Football,Summer,F,Gold,141152.0,70843.0,26.0,169.0,61.0,2008.0
Freestyle Skiing Women's Aerials,Winter,F,Gold,119729.5,60353.0,27.5,160.5,56.0,2004.0
Freestyle Skiing Women's Halfpipe,Winter,F,Gold,27503.0,14276.0,20.0,155.0,63.0,2014.0
Freestyle Skiing Women's Moguls,Winter,F,Gold,115128.0,58326.0,23.0,166.0,56.5,2002.0
Freestyle Skiing Women's Ski Cross,Winter,F,Gold,196971.0,98793.0,23.5,178.0,68.0,2012.0
Freestyle Skiing Women's Slopestyle,Winter,F,Gold,99495.0,50359.0,19.0,170.0,58.0,2014.0
Golf Women's Individual,Summer,F,Gold,91184.0,45835.5,25.5,168.0,65.0,1958.0
Gymnastics Women's Balance Beam,Summer,F,Gold,126251.0,63665.0,18.5,153.0,45.0,1984.0
Gymnastics Women's Floor Exercise,Summer,F,Gold,133190.0,67046.0,18.0,157.0,47.0,1980.0
Gymnastics Women's Horse Vault,Summer,F,Gold,115591.5,58522.0,19.0,156.5,47.0,1986.0
Gymnastics Women's Individual All-Around,Summer,F,Gold,101440.0,51302.0,19.0,158.0,45.0,1984.0
Gymnastics Women's Team All-Around,Summer,F,Gold,138311.0,69483.0,19.0,156.0,46.0,1976.0
Gymnastics Women's Team Portable Apparatus,Summer,F,Gold,132006.0,66469.5,22.5,160.0,57.0,1952.0
Gymnastics Women's Uneven Bars,Summer,F,Gold,117262.0,59380.0,19.0,158.5,45.5,1984.0
Handball Women's Handball,Summer,F,Gold,132803.0,66847.0,25.0,175.0,68.0,1996.0
Hockey Women's Hockey,Summer,F,Gold,146870.5,73719.0,25.0,168.0,61.0,2000.0
Ice Hockey Women's Ice Hockey,Winter,F,Gold,132591.0,66741.0,25.0,170.0,70.0,2006.0
