Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
"Equestrianism Mixed Three-Day Event, Team",Summer,F,Bronze,185820.5,93341.5,33.5,169.0,61.5,2004.0
"Fencing Women's Foil, Individual",Summer,F,Bronze,197327.5,99092.5,27.5,167.5,59.0,1986.0
"Fencing Women's Foil, Team",Summer,F,Bronze,160974.0,80780.0,27.0,166.0,58.0,1984.0
"Fencing Women's Sabre, Individual",Summer,F,Bronze,116954.5,59209.0,21.0,171.0,68.0,2010.0
"Fencing Women's Sabre, Team",Summer,F,Bronze,257030.0,128705.0,26.0,173.0,72.0,2016.0
"Fencing Women's epee, Individual",Summer,F,Bronze,202230.0,101519.0,26.0,174.0,61.0,2006.0
"Fencing Women's epee, Team",Summer,F,Bronze,128462.5,64790.0,26.0,172.5,64.0,2004.0
Figure Skating Mixed Ice Dancing,Winter,F,Bronze,121184.0,61272.0,26.0,165.0,51.0,1994.0
Figure Skating Mixed Pairs,Winter,F,Bronze,167548.0,84181.0,23.0,158.0,48.0,1988.0
Figure Skating Mixed Team,Winter,F,Bronze,65422.0,33408.5,22.5,160.0,50.5,2014.0
Figure Skating Women's Singles,Winter,F,Bronze,127577.5,64301.0,21.0,161.0,52.0,1990.0
Football Women's Football,Summer,F,Bronze,159798.0,80181.0,25.0,171.0,63.0,2008.0
Freestyle Skiing Women's Aerials,Winter,F,Bronze,71374.0,36341.5,28.0,160.5,55.5,2004.0
Freestyle Skiing Women's Halfpipe,Winter,F,Bronze,177485.0,89207.0,25.0,158.0,50.0,2014.0
Freestyle Skiing Women's Moguls,Winter,F,Bronze,126046.0,63572.0,25.0,167.0,60.0,2002.0
Freestyle Skiing Women's Ski Cross,Winter,F,Bronze,104271.5,52753.0,24.5,172.5,66.0,2012.0
Freestyle Skiing Women's Slopestyle,Winter,F,Bronze,131369.0,66120.0,25.0,165.0,54.0,2014.0
Golf Women's Individual,Summer,F,Bronze,67721.0,34618.0,26.0,170.0,85.0,2016.0
Gymnastics Women's Balance Beam,Summer,F,Bronze,159372.0,79987.0,19.0,152.0,45.0,1988.0
Gymnastics Women's Floor Exercise,Summer,F,Bronze,137436.0,69094.0,18.0,158.0,46.0,1984.0
Gymnastics Women's Horse Vault,Summer,F,Bronze,183682.0,92326.0,17.0,156.0,43.0,1988.0
Gymnastics Women's Individual All-Around,Summer,F,Bronze,153460.0,77058.5,18.5,159.0,48.0,1986.0
Gymnastics Women's Team All-Around,Summer,F,Bronze,144957.0,72751.0,18.0,156.0,47.0,1984.0
Gymnastics Women's Team Portable Apparatus,Summer,F,Bronze,157281.5,78955.5,22.0,161.0,56.0,1956.0
Gymnastics Women's Uneven Bars,Summer,F,Bronze,182768.0,91790.5,19.0,156.0,46.0,1982.0
Handball Women's Handball,Summer,F,Bronze,143626.0,72079.5,27.0,175.0,68.0,1996.0
Hockey Women's Hockey,Summer,F,Bronze,159269.0,79939.0,26.0,167.0,60.0,2000.0
Ice Hockey Women's Ice Hockey,Winter,F,Bronze,142245.0,71404.0,22.5,167.0,65.0,2006.0
Judo Women's Extra-Lightweight,Summer,F,Bronze,181835.0,91398.0,22.0,157.0,48.0,2004.0
Judo Women's Half-Heavyweight,Summer,F,Bronze,159695.0,80171.5,25.0,170.5,78.0,2004.0
