Event,Season,Sex,Medal,Age,Height,Weight,Year
"Ski Jumping Women's Normal Hill, Individual",Winter,F,Silver,30.0,164.0,52.0,2014
Snowboarding Women's Boardercross,Winter,F,Silver,31.0,168.0,64.0,2010
Snowboarding Women's Giant Slalom,Winter,F,Silver,19.0,176.0,62.0,1998
Snowboarding Women's Halfpipe,Winter,F,Silver,24.0,168.0,57.0,2006
Snowboarding Women's Parallel Giant Slalom,Winter,F,Silver,23.0,165.0,60.5,2008
Snowboarding Women's Parallel Slalom,Winter,F,Silver,28.0,175.0,65.0,2014
Snowboarding Women's Slopestyle,Winter,F,Silver,23.0,165.0,54.0,2014
Softball Women's Softball,Summer,F,Silver,26.5,170.0,66.0,2002
"Speed Skating Women's 1,000 metres",Winter,F,Silver,25.0,168.0,64.0,1988
"Speed Skating Women's 1,500 metres",Winter,F,Silver,26.0,170.0,65.0,1988
"Speed Skating Women's 3,000 metres",Winter,F,Silver,25.0,168.5,60.0,1986
"Speed Skating Women's 5,000 metres",Winter,F,Silver,27.0,169.0,64.0,2000
Speed Skating Women's 500 metres,Winter,F,Silver,25.5,168.0,63.5,1986
Speed Skating Women's Team Pursuit (6 laps),Winter,F,Silver,25.5,172.0,64.0,2010
Swimming Women's 10 kilometres Open Water,Summer,F,Silver,20.0,177.0,66.0,2012
Swimming Women's 100 metres Backstroke,Summer,F,Silver,18.0,174.0,64.0,1986
Swimming Women's 100 metres Breaststroke,Summer,F,Silver,19.0,173.0,62.0,1992
Swimming Women's 100 metres Butterfly,Summer,F,Silver,18.5,172.5,64.0,1986
Swimming Women's 100 metres Freestyle,Summer,F,Silver,16.0,175.0,67.0,1988
Swimming Women's 200 metres Backstroke,Summer,F,Silver,21.0,175.0,64.0,1992
Swimming Women's 200 metres Breaststroke,Summer,F,Silver,19.0,173.0,65.0,1988
Swimming Women's 200 metres Butterfly,Summer,F,Silver,20.0,172.0,63.0,1992
Swimming Women's 200 metres Freestyle,Summer,F,Silver,19.0,178.0,66.0,1992
Swimming Women's 200 metres Individual Medley,Summer,F,Silver,22.0,175.0,64.0,1996
