Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Rowing Women's Coxed Quadruple Sculls,Summer,F,Silver,142160.0,71369.5,24.0,173.0,67.5,1980.0
Rowing Women's Coxless Fours,Summer,F,Silver,64262.5,32883.5,26.5,177.5,72.0,1992.0
Rowing Women's Coxless Pairs,Summer,F,Silver,125479.5,63312.5,25.0,179.5,73.0,1996.0
Rowing Women's Double Sculls,Summer,F,Silver,140145.0,70359.0,25.0,178.0,72.0,1996.0
Rowing Women's Lightweight Double Sculls,Summer,F,Silver,139381.0,70197.0,29.0,174.0,59.0,2006.0
Rowing Women's Quadruple Sculls,Summer,F,Silver,100725.0,50962.0,26.0,181.0,75.0,2002.0
Rowing Women's Single Sculls,Summer,F,Silver,117185.0,59342.0,27.0,178.0,72.0,1996.0
Rugby Sevens Women's Rugby Sevens,Summer,F,Silver,151327.5,75929.0,24.0,170.0,70.5,2016.0
Sailing Mixed Multihull,Summer,F,Silver,49286.0,25384.0,24.0,168.0,65.0,2016.0
Sailing Women's One Person Dinghy,Summer,F,Silver,166288.0,83509.0,24.0,177.0,68.0,2004.0
Sailing Women's Skiff,Summer,F,Silver,151725.0,76150.0,23.5,168.0,65.0,2016.0
Sailing Women's Three Person Keelboat,Summer,F,Silver,165254.0,82992.0,23.0,170.0,68.0,2008.0
Sailing Women's Two Person Dinghy,Summer,F,Silver,103896.0,52575.0,30.0,173.0,65.0,2004.0
Sailing Women's Windsurfer,Summer,F,Silver,186509.0,93767.0,28.0,170.0,59.0,2004.0
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Summer,F,Silver,166209.0,83474.0,33.0,163.0,73.0,1976.0
"Shooting Women's Air Pistol, 10 metres",Summer,F,Silver,194447.5,97674.0,29.0,165.0,61.5,2002.0
"Shooting Women's Air Rifle, 10 metres",Summer,F,Silver,75462.0,38307.0,30.0,165.0,56.0,2000.0
Shooting Women's Double Trap,Summer,F,Silver,117830.0,59629.0,24.0,168.0,65.0,2000.0
Shooting Women's Skeet,Summer,F,Silver,199722.0,100315.0,29.0,167.0,60.0,2008.0
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Summer,F,Silver,134453.0,67686.0,24.0,165.0,60.0,2000.0
"Shooting Women's Sporting Pistol, 25 metres",Summer,F,Silver,113981.0,57735.0,26.0,164.0,60.0,2000.0
Shooting Women's Trap,Summer,F,Silver,204053.0,102440.0,28.0,166.0,65.0,2008.0
"Short Track Speed Skating Women's 1,000 metres",Winter,F,Silver,165442.5,83157.0,20.0,169.0,60.0,2004.0
"Short Track Speed Skating Women's 1,500 metres",Winter,F,Silver,87789.5,44424.0,17.5,165.0,59.0,2008.0
"Short Track Speed Skating Women's 3,000 metres Relay",Winter,F,Silver,201586.0,101255.0,23.0,165.0,60.0,2002.0
Short Track Speed Skating Women's 500 metres,Winter,F,Silver,211226.5,106095.5,22.0,165.5,62.5,2004.0
Skeleton Women's Skeleton,Winter,F,Silver,197280.5,99062.5,31.5,173.0,68.0,2008.0
"Ski Jumping Women's Normal Hill, Individual",Winter,F,Silver,103437.0,52335.0,30.0,164.0,52.0,2014.0
Snowboarding Women's Boardercross,Winter,F,Silver,105054.0,53178.0,31.0,168.0,64.0,2010.0
Snowboarding Women's Giant Slalom,Winter,F,Silver,199121.0,100006.0,19.0,176.0,62.0,1998.0
Snowboarding Women's Halfpipe,Winter,F,Silver,120503.0,60985.0,24.0,168.0,57.0,2006.0
Snowboarding Women's Parallel Giant Slalom,Winter,F,Silver,163813.0,82454.0,23.0,165.0,60.5,2008.0
Snowboarding Women's Parallel Slalom,Winter,F,Silver,113999.0,57744.0,28.0,175.0,65.0,2014.0
Snowboarding Women's Slopestyle,Winter,F,Silver,206046.0,103439.0,23.0,165.0,54.0,2014.0
Softball Women's Softball,Summer,F,Silver,144007.5,72270.5,26.5,170.0,66.0,2002.0
"Speed Skating Women's 1,000 metres",Winter,F,Silver,192283.0,96545.0,25.0,168.0,64.0,1988.0
"Speed Skating Women's 1,500 metres",Winter,F,Silver,166687.0,83728.0,26.0,170.0,65.0,1988.0
