Event,Season,Sex,Medal,Age,Height,Weight,Year
Shooting Women's Trap,Summer,F,Gold,31.0,169.0,76.0,2008
"Short Track Speed Skating Women's 1,000 metres",Winter,F,Gold,21.5,165.0,57.0,2004
"Short Track Speed Skating Women's 1,500 metres",Winter,F,Gold,17.5,165.0,60.0,2008
"Short Track Speed Skating Women's 3,000 metres Relay",Winter,F,Gold,18.0,165.0,56.0,2004
Short Track Speed Skating Women's 500 metres,Winter,F,Gold,26.0,163.0,58.0,2002
Skeleton Women's Skeleton,Winter,F,Gold,26.0,167.5,57.0,2008
"Ski Jumping Women's Normal Hill, Individual",Winter,F,Gold,22.0,171.0,62.0,2014
Snowboarding Women's Boardercross,Winter,F,Gold,30.0,171.0,65.0,2010
Snowboarding Women's Giant Slalom,Winter,F,Gold,20.0,165.0,61.0,1998
Snowboarding Women's Halfpipe,Winter,F,Gold,20.0,163.0,60.0,2006
Snowboarding Women's Parallel Giant Slalom,Winter,F,Gold,26.0,171.5,72.0,2008
Snowboarding Women's Parallel Slalom,Winter,F,Gold,26.0,168.0,60.0,2014
Snowboarding Women's Slopestyle,Winter,F,Gold,23.0,160.0,54.0,2014
Softball Women's Softball,Summer,F,Gold,25.0,172.0,70.0,2004
"Speed Skating Women's 1,000 metres",Winter,F,Gold,24.5,169.0,63.0,1990
"Speed Skating Women's 1,500 metres",Winter,F,Gold,24.0,167.0,64.0,1992
"Speed Skating Women's 3,000 metres",Winter,F,Gold,23.0,168.0,65.0,1988
"Speed Skating Women's 5,000 metres",Winter,F,Gold,25.0,168.0,61.0,2000
Speed Skating Women's 500 metres,Winter,F,Gold,24.0,165.0,62.0,1988
Speed Skating Women's Team Pursuit (6 laps),Winter,F,Gold,28.0,169.0,64.0,2010
Swimming Women's 10 kilometres Open Water,Summer,F,Gold,22.0,173.0,65.0,2012
Swimming Women's 100 metres Backstroke,Summer,F,Gold,17.0,173.0,63.0,1988
Swimming Women's 100 metres Breaststroke,Summer,F,Gold,18.5,171.0,63.5,1992
Swimming Women's 100 metres Butterfly,Summer,F,Gold,20.0,173.0,63.5,1986
Swimming Women's 100 metres Freestyle,Summer,F,Gold,21.0,173.5,67.0,1986
Swimming Women's 200 metres Backstroke,Summer,F,Gold,17.0,175.0,65.0,1992
Swimming Women's 200 metres Breaststroke,Summer,F,Gold,19.0,173.0,61.0,1988
Swimming Women's 200 metres Butterfly,Summer,F,Gold,20.0,172.0,63.0,1992
Swimming Women's 200 metres Freestyle,Summer,F,Gold,19.0,174.0,64.0,1992
Swimming Women's 200 metres Individual Medley,Summer,F,Gold,20.0,175.0,64.0,1996
Swimming Women's 4 x 100 metres Freestyle Relay,Summer,F,Gold,19.0,175.0,64.0,1988
Swimming Women's 4 x 100 metres Medley Relay,Summer,F,Gold,18.0,173.0,64.0,1988
Swimming Women's 4 x 200 metres Freestyle Relay,Summer,F,Gold,21.0,176.5,66.5,2008
