Event,Season,Sex,Medal,Age,Height,Weight,Year
Swimming Women's 200 metres Butterfly,Summer,F,Bronze,21.0,170.0,60.0,1992
Swimming Women's 200 metres Freestyle,Summer,F,Bronze,22.0,178.0,64.0,1992
Swimming Women's 200 metres Individual Medley,Summer,F,Bronze,21.0,175.0,64.0,1996
Swimming Women's 4 x 100 metres Freestyle Relay,Summer,F,Bronze,20.0,175.0,65.0,1992
Swimming Women's 4 x 100 metres Medley Relay,Summer,F,Bronze,18.0,172.5,62.0,1984
Swimming Women's 4 x 200 metres Freestyle Relay,Summer,F,Bronze,21.5,178.5,66.0,2008
Swimming Women's 400 metres Freestyle,Summer,F,Bronze,19.0,173.0,64.0,1984
Swimming Women's 400 metres Individual Medley,Summer,F,Bronze,18.0,170.0,57.0,1990
Swimming Women's 50 metres Freestyle,Summer,F,Bronze,25.0,180.0,68.0,2000
Swimming Women's 800 metres Freestyle,Summer,F,Bronze,18.0,171.0,60.0,1992
Synchronized Swimming Women's Duet,Summer,F,Bronze,22.0,167.0,54.0,2002
Synchronized Swimming Women's Solo,Summer,F,Bronze,22.0,163.0,51.0,1988
Synchronized Swimming Women's Team,Summer,F,Bronze,22.0,167.0,55.0,2004
Table Tennis Women's Doubles,Summer,F,Bronze,22.0,165.0,55.0,1996
Table Tennis Women's Singles,Summer,F,Bronze,24.5,165.0,56.5,2002
Table Tennis Women's Team,Summer,F,Bronze,27.0,158.0,55.0,2012
Taekwondo Women's Featherweight,Summer,F,Bronze,22.5,173.5,57.0,2010
Taekwondo Women's Flyweight,Summer,F,Bronze,21.0,166.5,49.0,2010
Taekwondo Women's Heavyweight,Summer,F,Bronze,24.0,177.5,72.0,2010
Taekwondo Women's Welterweight,Summer,F,Bronze,23.5,175.0,67.0,2010
Tennis Mixed Doubles,Summer,F,Bronze,34.5,171.0,63.5,2014
Tennis Women's Doubles,Summer,F,Bronze,25.0,171.0,59.5,1998
Tennis Women's Singles,Summer,F,Bronze,23.0,175.5,61.5,1998
Trampolining Women's Individual,Summer,F,Bronze,23.0,160.0,50.0,2008
Triathlon Women's Olympic Distance,Summer,F,Bronze,29.0,166.0,56.0,2008
Volleyball Women's Volleyball,Summer,F,Bronze,25.0,179.0,70.0,1992
Water Polo Women's Water Polo,Summer,F,Bronze,25.0,175.0,70.0,2008
Weightlifting Women's Featherweight,Summer,F,Bronze,26.0,155.0,53.0,2008
Weightlifting Women's Flyweight,Summer,F,Bronze,24.0,147.0,48.0,2008
Weightlifting Women's Heavyweight,Summer,F,Bronze,26.0,166.0,75.0,2008
Weightlifting Women's Light-Heavyweight,Summer,F,Bronze,22.0,161.0,69.0,2008
Weightlifting Women's Lightweight,Summer,F,Bronze,24.0,153.0,58.0,2008
Weightlifting Women's Middleweight,Summer,F,Bronze,26.0,160.0,63.0,2008
Weightlifting Women's Super-Heavyweight,Summer,F,Bronze,22.0,175.0,122.0,2008
"Wrestling Women's Featherweight, Freestyle",Summer,F,Bronze,28.5,162.0,57.0,2016
"Wrestling Women's Flyweight, Freestyle",Summer,F,Bronze,25.0,154.0,48.0,2012
"Wrestling Women's Heavyweight, Freestyle",Summer,F,Bronze,29.0,174.0,72.0,2012
"Wrestling Women's Light-Heavyweight, Freestyle",Summer,F,Bronze,26.5,170.5,71.0,2016
"Wrestling Women's Lightweight, Freestyle",Summer,F,Bronze,27.0,162.0,58.0,2012
"Wrestling Women's Middleweight, Freestyle",Summer,F,Bronze,24.0,165.0,63.0,2012
