NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
GBR,"Charles Benedict ""Ben"" Ainslie",M,27.0,183.0,90.0,Summer,2004,Sailing,Sailing Men's One Person Dinghy,Gold
GBR,"Charles Benedict ""Ben"" Ainslie",M,31.0,183.0,90.0,Summer,2008,Sailing,Sailing Mixed One Person Dinghy,Gold
GBR,"Charles Benedict ""Ben"" Ainslie",M,35.0,183.0,90.0,Summer,2012,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
USA,Kurt Harold Ainsworth,M,22.0,187.0,84.0,Summer,2000,Baseball,Baseball Men's Baseball,Gold
AUS,Brett Aitken,M,29.0,173.0,65.0,Summer,2000,Cycling,Cycling Men's Madison,Gold
UKR,Artur Surenovych Aivazian,M,35.0,177.0,88.0,Summer,2008,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
CUB,Omar Ajete Iglesias,M,27.0,175.0,93.0,Summer,1992,Baseball,Baseball Men's Baseball,Gold
CUB,Omar Ajete Iglesias,M,31.0,175.0,93.0,Summer,1996,Baseball,Baseball Men's Baseball,Gold
TUR,Taha Akgl,M,25.0,192.0,125.0,Summer,2016,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
RUS,Artur Kamilevich Akhmatkhuzin,M,28.0,187.0,79.0,Summer,2016,Fencing,"Fencing Men's Foil, Team",Gold
PAK,Gulraiz Akhtar,M,25.0,172.0,61.0,Summer,1968,Hockey,Hockey Men's Hockey,Gold
PAK,Naeem Akhtar,M,23.0,173.0,65.0,Summer,1984,Hockey,Hockey Men's Hockey,Gold
UGA,John Akii-Bua,M,22.0,188.0,77.0,Summer,1972,Athletics,Athletics Men's 400 metres Hurdles,Gold
URS,Anatoly Ivanovich Akimov,M,24.0,181.0,84.0,Summer,1972,Water Polo,Water Polo Men's Water Polo,Gold
URS,Vladimir Ivanovich Akimov,M,27.0,184.0,80.0,Summer,1980,Water Polo,Water Polo Men's Water Polo,Gold
URS,Aleksandr Timofeyevich Aksinin,M,25.0,173.0,67.0,Summer,1980,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
IOA,Fehaid Al-Deehani,M,49.0,178.0,95.0,Summer,2016,Shooting,Shooting Men's Double Trap,Gold
PAK,Abdul Rashid Al-Hasan,M,25.0,170.0,63.0,Summer,1984,Hockey,Hockey Men's Hockey,Gold
UAE,Ahmed bin Hasher Al-Maktoum,M,40.0,175.0,67.0,Summer,2004,Shooting,Shooting Men's Double Trap,Gold
PAK,Noor Alam,M,30.0,172.0,73.0,Summer,1960,Hockey,Hockey Men's Hockey,Gold
FIN,Toimi Johannes Alatalo,M,30.0,174.0,67.0,Winter,1960,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
ITA,Marco Albarello,M,33.0,187.0,84.0,Winter,1994,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
RUS,Islam-Beka Said-Tsilimovich Albiyev,M,19.0,165.0,66.0,Summer,2008,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
SWE,John Robert Albrechtson,M,39.0,181.0,67.0,Summer,1976,Sailing,Sailing Mixed Two Person Keelboat,Gold
CUB,Andrs Aldama Cabrera,M,24.0,183.0,63.0,Summer,1980,Boxing,Boxing Men's Welterweight,Gold
USA,"Frederick Pitt ""Fred"" Alderman",M,22.0,177.0,75.0,Summer,1928,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
LTU,Virgilijus Alekna,M,28.0,200.0,130.0,Summer,2000,Athletics,Athletics Men's Discus Throw,Gold
LTU,Virgilijus Alekna,M,32.0,200.0,130.0,Summer,2004,Athletics,Athletics Men's Discus Throw,Gold
URS,Boris Viktorovich Aleksandrov,M,20.0,168.0,69.0,Winter,1976,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
URS,Veniamin Veniaminovich Aleksandrov,M,26.0,180.0,81.0,Winter,1964,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
URS,Veniamin Veniaminovich Aleksandrov,M,30.0,180.0,81.0,Winter,1968,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
ARM,Artur Aleksanyan,M,24.0,190.0,98.0,Summer,2016,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
URS,Vasily Ivanovich Alekseyev,M,30.0,185.0,160.0,Summer,1972,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
URS,Vasily Ivanovich Alekseyev,M,34.0,185.0,160.0,Summer,1976,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
SRB,Milan Aleksi,M,30.0,193.0,96.0,Summer,2016,Water Polo,Water Polo Men's Water Polo,Gold
FRA,Marc Robert Alexandre,M,28.0,170.0,73.0,Summer,1988,Judo,Judo Men's Lightweight,Gold
ESP,Alfonso Prez Muoz,M,19.0,178.0,69.0,Summer,1992,Football,Football Men's Football,Gold
USA,"Stephen Todd ""Steve"" Alford",M,19.0,185.0,74.0,Summer,1984,Basketball,Basketball Men's Basketball,Gold
SWE,Hans Daniel Alfredsson,M,33.0,182.0,92.0,Winter,2006,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
SWE,Ulf Hkan Gran Algotsson,M,27.0,178.0,77.0,Winter,1994,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
PAK,Nasir Ali,M,25.0,176.0,69.0,Summer,1984,Hockey,Hockey Men's Hockey,Gold
IND,Syed Mushtaq Ali,M,22.0,165.0,61.0,Summer,1964,Hockey,Hockey Men's Hockey,Gold
RUS,Sergey Gennadyevich Alifirenko,M,41.0,168.0,72.0,Summer,2000,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
RUS,Aleksey Aleksandrovich Alipov,M,29.0,175.0,80.0,Summer,2004,Shooting,Shooting Men's Trap,Gold
BRA,Alison Conte Cerutti,M,30.0,203.0,106.0,Summer,2016,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
USA,"William Charles ""Bill"" Allen",M,24.0,188.0,95.0,Summer,1972,Sailing,Sailing Mixed Three Person Keelboat,Gold
USA,Walter Ray Allen,M,25.0,192.0,93.0,Summer,2000,Basketball,Basketball Men's Basketball,Gold
USA,Wyatt Allen,M,25.0,193.0,98.0,Summer,2004,Rowing,Rowing Men's Coxed Eights,Gold
GBR,Derek Swithin Allhusen,M,54.0,180.0,71.0,Summer,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
URS,Aleksandr Davletovich Almetov,M,24.0,178.0,83.0,Winter,1964,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
CMR,Nicolas Alnoudji,M,20.0,180.0,80.0,Summer,2000,Football,Football Men's Football,Gold
NOR,Thomas Alsgaard (Alsgrd-),M,22.0,190.0,82.0,Winter,1994,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Gold
NOR,Thomas Alsgaard (Alsgrd-),M,26.0,190.0,82.0,Winter,1998,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,Gold
NOR,Thomas Alsgaard (Alsgrd-),M,26.0,190.0,82.0,Winter,1998,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
NOR,Thomas Alsgaard (Alsgrd-),M,30.0,190.0,82.0,Winter,2002,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit,Gold
NOR,Thomas Alsgaard (Alsgrd-),M,30.0,190.0,82.0,Winter,2002,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
FRA,Jean-Pierre Bernard Andr Amat,M,34.0,175.0,74.0,Summer,1996,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
BRA,Amauri Ribeiro,M,33.0,198.0,87.0,Summer,1992,Volleyball,Volleyball Men's Volleyball,Gold
ESP,Jos Emilio Amavisca Grate,M,21.0,182.0,68.0,Summer,1992,Football,Football Men's Football,Gold
ITA,Amedeo Ambron,M,21.0,174.0,77.0,Summer,1960,Water Polo,Water Polo Men's Water Polo,Gold
