sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
197572,99196,Pietro Rava,M,20.0,175.0,73.0,Italy,ITA,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,Gold
197583,99202,Giuseppe Ravano,M,21.0,184.0,72.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
197643,99232,Vatemo Ravouvou,M,26.0,171.0,81.0,Fiji,FIJ,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
197651,99237,Savenaca Rawaca,M,24.0,189.0,105.0,Fiji,FIJ,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
197661,99245,"Alfred ""Toby"" Rawlinson",M,33.0,,,UK,GBR,1900 Summer,1900,Summer,Paris,Polo,Polo Men's Polo,Gold
197669,99249,"Ronald Rawson ""Ron"" Rawson",M,27.0,,,UK,GBR,1920 Summer,1920,Summer,Antwerpen,Boxing,Boxing Men's Heavyweight,Gold
197697,99263,Valentin Raychev,M,26.0,174.0,74.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
197701,99266,Georgi Petkov Raykov,M,26.0,178.0,100.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
197710,99269,"Petrus Josephus ""Piet"" Raymakers",M,35.0,191.0,87.0,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
197718,99274,Louis Bosman Raymond,M,24.0,,,South Africa,RSA,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Men's Singles,Gold
197791,99316,Boris Davidovich Razinsky,M,23.0,,,Russia,URS,1956 Summer,1956,Summer,Melbourne,Football,Football Men's Football,Gold
197831,99334,Giuliano Razzoli,M,25.0,182.0,88.0,Italy,ITA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,Gold
197840,99338,Goran Raenovi,M,21.0,197.0,95.0,Serbia,YUG,1988 Summer,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Gold
197845,99340,Zdravko Raenovi,M,31.0,194.0,89.0,Serbia,YUG,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Men's Handball,Gold
197852,99346,Jason Read,M,26.0,185.0,83.0,USA,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
197878,99354,Norman Richard Read,M,25.0,178.0,64.0,New Zealand,NZL,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 50 kilometres Walk,Gold
197931,99376,Ross Rebagliati,M,26.0,178.0,81.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Snowboarding,Snowboarding Men's Giant Slalom,Gold
197989,99403,Daniel Denis tienne Rbillard,M,19.0,184.0,72.0,France,FRA,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
198022,99423,Esko Tapani Rechardt,M,22.0,186.0,85.0,Finland,FIN,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed One Person Dinghy,Gold
198044,99436,Jonas Reckermann,M,33.0,201.0,98.0,Germany,GER,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
198050,99438,Ernst Heinrich Dietrich Reckeweg,M,31.0,,,USA,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,Gold
198054,99441,Helmut Recknagel,M,22.0,174.0,74.0,Germany,GER,1960 Winter,1960,Winter,Squaw Valley,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
198082,99456,Michael Wesley Redd,M,28.0,198.0,98.0,USA,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
198113,99472,"Stephen Geoffrey ""Steven"" Redgrave",M,22.0,193.0,103.0,UK,GBR,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Fours,Gold
198114,99472,"Stephen Geoffrey ""Steven"" Redgrave",M,26.0,193.0,103.0,UK,GBR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxless Pairs,Gold
198116,99472,"Stephen Geoffrey ""Steven"" Redgrave",M,30.0,193.0,103.0,UK,GBR,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Pairs,Gold
198117,99472,"Stephen Geoffrey ""Steven"" Redgrave",M,34.0,193.0,103.0,UK,GBR,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Pairs,Gold
198118,99472,"Stephen Geoffrey ""Steven"" Redgrave",M,38.0,193.0,103.0,UK,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Gold
198130,99480,Yevgeny Leonidovich Redkin,M,22.0,184.0,81.0,Russia,EUN,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Men's 20 kilometres,Gold
198177,99504,Bernard Boverton Redwood,M,33.0,,,UK,GBR,1908 Summer,1908,Summer,London,Motorboating,Motorboating Mixed B-Class (Under 60 Feet),Gold
198178,99504,Bernard Boverton Redwood,M,33.0,,,UK,GBR,1908 Summer,1908,Summer,London,Motorboating,Motorboating Mixed C-Class,Gold
198209,99523,"Peter ""Pete"" Reed",M,27.0,197.0,100.0,UK,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,Gold
198210,99523,"Peter ""Pete"" Reed",M,30.0,197.0,100.0,UK,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,Gold
198211,99523,"Peter ""Pete"" Reed",M,35.0,197.0,100.0,UK,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
198215,99526,Robin Lawrence Reed,M,24.0,,,USA,USA,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
198243,99537,Percy Montague Rees,M,24.0,,,UK,GBR,1908 Summer,1908,Summer,London,Hockey,Hockey Men's Hockey,Gold
198317,99578,Giovanni Leone Reggio,M,47.0,,,Italy,ITA,1936 Summer,1936,Summer,Berlin,Sailing,Sailing Mixed 8 metres,Gold
198426,99631,Latif-ur Rehman,M,19.0,,,India,IND,1948 Summer,1948,Summer,London,Hockey,Hockey Men's Hockey,Gold
198459,99648,Jean Reich,M,32.0,175.0,,Switzerland,SUI,1906 Summer,1906,Summer,Athina,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
198469,99655,Rdiger Reiche,M,21.0,198.0,96.0,Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Quadruple Sculls,Gold
198472,99656,"Franois tienne ""Frantz"" Reichel",M,29.0,,,France,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
198476,99659,Robert Reichel,M,26.0,178.0,83.0,Czech Republic,CZE,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
