NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
GHA,Prince Amartey,M,28.0,177.0,75.0,Summer,1972,Boxing,Boxing Men's Middleweight,Bronze
FRA,Jean-Pierre Bernard Andr Amat,M,34.0,175.0,74.0,Summer,1996,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
ESP,Pedro Amat Fontanals,M,20.0,183.0,67.0,Summer,1960,Hockey,Hockey Men's Hockey,Bronze
BRA,Amaury Antnio Pasos,M,24.0,190.0,90.0,Summer,1960,Basketball,Basketball Men's Basketball,Bronze
BRA,Amaury Antnio Pasos,M,28.0,190.0,90.0,Summer,1964,Basketball,Basketball Men's Basketball,Bronze
ITA,Salvatore Amitrano,M,28.0,184.0,73.0,Summer,2004,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
ARM,Roman Amoyan,M,24.0,158.0,55.0,Summer,2008,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
NOR,Steinar Amundsen,M,27.0,195.0,88.0,Summer,1972,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
NGR,Stanley Amuzie,M,20.0,171.0,85.0,Summer,2016,Football,Football Men's Football,Bronze
KOR,An Dae-Hyeon,M,25.0,166.0,67.0,Summer,1988,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
KOR,An Jae-Hyeong,M,23.0,183.0,74.0,Summer,1988,Table Tennis,Table Tennis Men's Doubles,Bronze
KOR,Viktor An,M,20.0,170.0,65.0,Winter,2006,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Bronze
RUS,Viktor An,M,28.0,170.0,65.0,Winter,2014,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Bronze
CHN,An Yulong,M,19.0,173.0,70.0,Winter,1998,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
CHN,An Yulong,M,23.0,173.0,70.0,Winter,2002,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
