NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
URS,Armenak Alachachyan,M,33.0,176.0,74.0,Summer,1964,Basketball,Basketball Men's Basketball,Silver
URS,Arsen Shakhlamazovich Alakhverdiyev,M,23.0,154.0,52.0,Summer,1972,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
PAK,Noor Alam,M,26.0,172.0,73.0,Summer,1956,Hockey,Hockey Men's Hockey,Silver
CRO,Vladan Alanovi,M,25.0,190.0,81.0,Summer,1992,Basketball,Basketball Men's Basketball,Silver
ITA,Marco Albarello,M,31.0,187.0,84.0,Winter,1992,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Silver
ITA,Marco Albarello,M,31.0,187.0,84.0,Winter,1992,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
ITA,Marco Albarello,M,37.0,187.0,84.0,Winter,1998,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
ESP,David Albelda Aliqus,M,23.0,182.0,75.0,Summer,2000,Football,Football Men's Football,Silver
ITA,Alberto Alberani Samaritani,M,29.0,192.0,82.0,Summer,1976,Water Polo,Water Polo Men's Water Polo,Silver
USA,"David Donald ""Dave"" Albritton",M,23.0,191.0,79.0,Summer,1936,Athletics,Athletics Men's High Jump,Silver
CUB,Andrs Aldama Cabrera,M,20.0,183.0,63.0,Summer,1976,Boxing,Boxing Men's Light-Welterweight,Silver
ESP,David Alegre Biosca,M,23.0,184.0,75.0,Summer,2008,Hockey,Hockey Men's Hockey,Silver
ESP,Ramn Alegre Biosca,M,27.0,171.0,71.0,Summer,2008,Hockey,Hockey Men's Hockey,Silver
BUL,Rumen Aleksandrov,M,20.0,176.0,89.0,Summer,1980,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
BRA,Alex Sandro Lobo Silva,M,21.0,177.0,60.0,Summer,2012,Football,Football Men's Football,Silver
GBR,Michael O'Donel Bjarne Alexander,M,24.0,188.0,74.0,Summer,1960,Fencing,"Fencing Men's epee, Team",Silver
BRA,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,22.0,179.0,71.0,Summer,2012,Football,Football Men's Football,Silver
ROU,Constantin Alexandru,M,26.0,157.0,52.0,Summer,1980,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
ROU,Ion Alexe,M,26.0,189.0,81.0,Summer,1972,Boxing,Boxing Men's Heavyweight,Silver
URS,Vladimir Petrovich Aleynik,M,27.0,184.0,74.0,Summer,1980,Diving,Diving Men's Platform,Silver
NIG,Abdoul Razak Issoufou Alfaga,M,21.0,207.0,90.0,Summer,2016,Taekwondo,Taekwondo Men's Heavyweight,Silver
SWE,Hans Daniel Alfredsson,M,41.0,182.0,92.0,Winter,2014,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
FRA,mile Ali Khan,M,17.0,180.0,69.0,Summer,1920,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
IRI,Rahim Aliabadi,M,29.0,158.0,48.0,Summer,1972,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
BRA,Alison Conte Cerutti,M,26.0,203.0,106.0,Summer,2012,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
FRA,Olivier Allamand,M,22.0,175.0,72.0,Winter,1992,Freestyle Skiing,Freestyle Skiing Men's Moguls,Silver
GBR,Alister Millar Allan,M,44.0,162.0,68.0,Summer,1988,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
GBR,Derek Swithin Allhusen,M,54.0,180.0,71.0,Summer,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
ARG,Matas Jess Almeyda,M,22.0,173.0,70.0,Summer,1996,Football,Football Men's Football,Silver
BRA,Alosio Pires Alves,M,25.0,182.0,74.0,Summer,1988,Football,Football Men's Football,Silver
NOR,Thomas Alsgaard (Alsgrd-),M,22.0,190.0,82.0,Winter,1994,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
URS,Andrey Igorevich Alshan,M,28.0,181.0,78.0,Summer,1988,Fencing,"Fencing Men's Sabre, Team",Silver
USA,"Eduardo C. ""Eddy"" Alvarez",M,24.0,175.0,72.0,Winter,2014,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
ITA,Renzo Alver,M,23.0,178.0,83.0,Winter,1956,Bobsleigh,Bobsleigh Men's Two,Silver
ITA,Renzo Alver,M,23.0,178.0,83.0,Winter,1956,Bobsleigh,Bobsleigh Men's Four,Silver
