sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
140570,70572,Liu Guoliang,M,24.0,168.0,60.0,China,CHN,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Men's Doubles,Silver
140652,70617,Liu Ming-Huang,M,19.0,179.0,75.0,Taiwan,TPE,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Team,Silver
140700,70638,Liu Shoubin,M,24.0,162.0,58.0,China,CHN,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Bantamweight,Silver
140897,70734,Cesare Liverziani,M,,,,Italy,ITA,1906 Summer,1906,Summer,Athina,Shooting,Shooting Men's Dueling Pistol Au Vise 20 metres,Silver
140902,70736,Lino Liviabella,M,34.0,,,Italy,ITA,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",Silver
140906,70738,"Robert Cambridge ""Bob"" Livingston",M,23.0,,,USA,USA,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
140909,70740,John Cleve Livingston,M,25.0,188.0,82.0,USA,USA,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,Silver
140913,70744,"Michael Kent ""Mike"" Livingston",M,23.0,191.0,86.0,USA,USA,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,Silver
140980,70769,Matija Ljubek,M,30.0,180.0,85.0,Serbia,YUG,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
141026,70785,John Arthur Ljunggren,M,40.0,178.0,59.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 50 kilometres Walk,Silver
141041,70790,Bengt Helge Ljungquist,M,39.0,185.0,90.0,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's epee, Team",Silver
141086,70806,Joan Llaneras Rossell,M,35.0,180.0,65.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Points Race,Silver
141089,70806,Joan Llaneras Rossell,M,39.0,180.0,65.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Madison,Silver
141126,70826,Michal Llodra,M,32.0,190.0,80.0,France,FRA,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Doubles,Silver
141127,70827,Jorge Llopart Ribas,M,28.0,167.0,63.0,Spain,ESP,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 50 kilometres Walk,Silver
141137,70832,Jos Luis Llorente Gento,M,25.0,188.0,84.0,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Silver
141156,70845,Charles Brian Murray Lloyd,M,21.0,,,UK,GBR,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Eights,Silver
141177,70852,Graeme John Lloyd,M,37.0,200.0,108.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver
141178,70853,John Hardress Lloyd,M,33.0,,,UK,GBR,1908 Summer,1908,Summer,London,Polo,Polo Men's Polo,Silver
141212,70865,Sergio Llull Meli,M,24.0,192.0,91.0,Spain,ESP,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Silver
141218,70868,Lo Chen-Jung,M,30.0,177.0,78.0,Taiwan,TPE,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Silver
141228,70874,Lo Kuo-Chung,M,26.0,179.0,75.0,Taiwan,TPE,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Silver
141262,70893,Danyon Joseph Loader,M,17.0,189.0,,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Butterfly,Silver
141278,70896,"John Wilfrid ""Johnny"" Loaring",M,20.0,178.0,74.0,Canada,CAN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 400 metres Hurdles,Silver
141324,70922,Nikita Konstantinovich Lobintsev,M,19.0,193.0,85.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
141420,70961,"Rudolf ""Rudi"" Lochner",M,38.0,184.0,88.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,Silver
141426,70965,Ryan Steven Lochte,M,20.0,188.0,88.0,USA,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Individual Medley,Silver
141432,70965,Ryan Steven Lochte,M,27.0,188.0,88.0,USA,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
