sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
213240,107080,Carmela Schmidt (-Ertel),F,18.0,173.0,66.0,Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Freestyle,Bronze
213241,107080,Carmela Schmidt (-Ertel),F,18.0,173.0,66.0,Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 400 metres Freestyle,Bronze
213243,107081,Cerstin Schmidt (-Almonat),F,24.0,178.0,62.0,Germany,GDR,1988 Winter,1988,Winter,Calgary,Luge,Luge Women's Singles,Bronze
213281,107103,Ingrid Schmidt (-Naue),F,15.0,172.0,60.0,Germany,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
213297,107109,"Kathryn Joan ""Kate"" Schmidt",F,18.0,186.0,80.0,USA,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's Javelin Throw,Bronze
213298,107109,"Kathryn Joan ""Kate"" Schmidt",F,22.0,186.0,80.0,USA,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's Javelin Throw,Bronze
213305,107112,"Helene Hermine ""Leni"" Schmidt (-Fischer)",F,21.0,169.0,60.0,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
213307,107113,Magdalena Schmidt (-Jakob),F,19.0,160.0,50.0,Germany,GDR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,Bronze
213350,107136,Sophie Diana Schmidt,F,24.0,172.0,71.0,Canada,CAN,2012 Summer,2012,Summer,London,Football,Football Women's Football,Bronze
213351,107136,Sophie Diana Schmidt,F,28.0,172.0,71.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
213437,107185,Allison Rodgers Schmitt,F,18.0,185.0,75.0,USA,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
213440,107185,Allison Rodgers Schmitt,F,22.0,185.0,75.0,USA,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
213668,107297,"Verena ""Vreni"" Schneider",F,29.0,170.0,68.0,Switzerland,SUI,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Bronze
214162,107531,Anne Schrder,F,21.0,170.0,58.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Bronze
214240,107564,Martina Schrter,F,19.0,181.0,71.0,Germany,GDR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Single Sculls,Bronze
214244,107567,Frances Cowells Schroth,F,27.0,168.0,,USA,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Women's 100 metres Freestyle,Bronze
214245,107567,Frances Cowells Schroth,F,27.0,168.0,,USA,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Women's 300 metres Freestyle,Bronze
214249,107569,Clara Marie Schroth-Lomady,F,27.0,,,USA,USA,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze
214337,107608,Brengre Simone Rolande Schuh,F,24.0,164.0,53.0,France,FRA,2008 Summer,2008,Summer,Beijing,Archery,Archery Women's Team,Bronze
214432,107650,Heike Schulte-Mattler (Schmidt-),F,26.0,170.0,54.0,Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
214565,107723,Sandra Schumacher,F,17.0,176.0,59.0,Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Women's Road Race, Individual",Bronze
214583,107732,Margit Schumann (-Esmarch),F,19.0,167.0,68.0,Germany,GDR,1972 Winter,1972,Winter,Sapporo,Luge,Luge Women's Singles,Bronze
214670,107774,Susanne Schuster (-Boerhoff),F,21.0,178.0,60.0,Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
214711,107800,Lisa Schtze,F,19.0,172.0,61.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Bronze
214778,107838,Ildik Schwarczenberger-Tordasi (-Kovcs),F,24.0,161.0,60.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Team",Bronze
214780,107838,Ildik Schwarczenberger-Tordasi (-Kovcs),F,28.0,161.0,60.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Women's Foil, Team",Bronze
214974,107912,"Melissa C. ""Missy"" Schwen-Ryan",F,28.0,172.0,65.0,USA,USA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxless Pairs,Bronze
214995,107925,Tasha Schwikert-Warren,F,15.0,,,USA,USA,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Bronze
215005,107930,"Friederike ""Fritzi"" Schwingl",F,26.0,,,Austria,AUT,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
215111,107987,Desiree Rose Marie Scott,F,24.0,160.0,62.0,Canada,CAN,2012 Summer,2012,Summer,London,Football,Football Women's Football,Bronze
215112,107987,Desiree Rose Marie Scott,F,29.0,160.0,62.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
