NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
LTU,Laura Asadauskait-Zadneprovskien,F,28.0,160.0,49.0,Summer,2012,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold
USA,Evelyn Ashford (-Washington),F,27.0,165.0,52.0,Summer,1984,Athletics,Athletics Women's 100 metres,Gold
USA,Evelyn Ashford (-Washington),F,27.0,165.0,52.0,Summer,1984,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
USA,Evelyn Ashford (-Washington),F,31.0,165.0,52.0,Summer,1988,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
USA,Evelyn Ashford (-Washington),F,35.0,165.0,52.0,Summer,1992,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
URS,Polina Hryhorivna Astakhova,F,20.0,166.0,56.0,Summer,1956,Gymnastics,Gymnastics Women's Team All-Around,Gold
URS,Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,Summer,1960,Gymnastics,Gymnastics Women's Team All-Around,Gold
URS,Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,Summer,1960,Gymnastics,Gymnastics Women's Uneven Bars,Gold
URS,Polina Hryhorivna Astakhova,F,27.0,166.0,56.0,Summer,1964,Gymnastics,Gymnastics Women's Team All-Around,Gold
URS,Polina Hryhorivna Astakhova,F,27.0,166.0,56.0,Summer,1964,Gymnastics,Gymnastics Women's Uneven Bars,Gold
USA,"Susanne Jean ""Susie"" Atwood",F,19.0,170.0,66.0,Summer,1972,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
GDR,Ingrid Auerswald-Lange (Brestrich-),F,22.0,168.0,58.0,Summer,1980,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
GER,Sandra Auffarth,F,25.0,170.0,57.0,Summer,2012,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
NOR,Inger Reidun Aufles (Dving-),F,26.0,165.0,54.0,Winter,1968,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Gold
USA,Seimone Delicia Augustus,F,24.0,183.0,74.0,Summer,2008,Basketball,Basketball Women's Basketball,Gold
USA,Seimone Delicia Augustus,F,28.0,183.0,74.0,Summer,2012,Basketball,Basketball Women's Basketball,Gold
USA,Seimone Delicia Augustus,F,32.0,183.0,74.0,Summer,2016,Basketball,Basketball Women's Basketball,Gold
NOR,Berit Kristine Aunli-Kvello,F,27.0,170.0,56.0,Winter,1984,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
URS,Tatyana Borisovna Averina-Barabash,F,25.0,165.0,61.0,Winter,1976,Speed Skating,"Speed Skating Women's 1,000 metres",Gold
URS,Tatyana Borisovna Averina-Barabash,F,25.0,165.0,61.0,Winter,1976,Speed Skating,"Speed Skating Women's 3,000 metres",Gold
ETH,Almaz Ayana Eba,F,24.0,166.0,47.0,Summer,2016,Athletics,"Athletics Women's 10,000 metres",Gold
GBR,Sarah Lianne Ayton (-Dempsey),F,24.0,167.0,63.0,Summer,2004,Sailing,Sailing Women's Three Person Keelboat,Gold
GBR,Sarah Lianne Ayton (-Dempsey),F,28.0,167.0,63.0,Summer,2008,Sailing,Sailing Women's Three Person Keelboat,Gold
BLR,"Viktoriya Fyodorovna ""Vika"" Azarenko",F,22.0,183.0,60.0,Summer,2012,Tennis,Tennis Mixed Doubles,Gold
RUS,Yelena Yuryevna Azarova,F,27.0,165.0,64.0,Summer,2000,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
RUS,Yelena Yuryevna Azarova,F,31.0,165.0,64.0,Summer,2004,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
RUS,Karina Borisovna Aznavuryan,F,25.0,170.0,59.0,Summer,2000,Fencing,"Fencing Women's epee, Team",Gold
RUS,Karina Borisovna Aznavuryan,F,29.0,170.0,59.0,Summer,2004,Fencing,"Fencing Women's epee, Team",Gold
USA,Jennifer Lynn Azzi,F,27.0,172.0,64.0,Summer,1996,Basketball,Basketball Women's Basketball,Gold
NED,"Christina Wilhelmina ""Stien"" Baas-Kaiser",F,33.0,174.0,69.0,Winter,1972,Speed Skating,"Speed Skating Women's 3,000 metres",Gold
USA,Shirley Frances Babashoff,F,15.0,178.0,67.0,Summer,1972,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
USA,Shirley Frances Babashoff,F,15.0,178.0,67.0,Summer,1972,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
USA,Shirley Frances Babashoff,F,19.0,178.0,67.0,Summer,1976,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
USA,Kristen Elizabeth Babb-Sprague,F,23.0,178.0,58.0,Summer,1992,Synchronized Swimming,Synchronized Swimming Women's Solo,Gold
GER,Tina Bachmann,F,26.0,165.0,64.0,Summer,2004,Hockey,Hockey Women's Hockey,Gold
ITA,Diana Bacosi,F,33.0,175.0,85.0,Summer,2016,Shooting,Shooting Women's Skeet,Gold
ROU,Ioana Badea,F,20.0,180.0,78.0,Summer,1984,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
GDR,Angelika Bahmann,F,20.0,165.0,69.0,Summer,1972,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
USA,Margaret Ann Bailes (Johnson-),F,17.0,170.0,65.0,Summer,1968,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
JAM,Aleen May Bailey,F,23.0,170.0,64.0,Summer,2004,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
USA,"Christina ""Chris"" Bailey",F,26.0,167.0,73.0,Winter,1998,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
AUS,Angie Lee Bainbridge,F,18.0,181.0,67.0,Summer,2008,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
URS,Svetlana Nikolayevna Baitova,F,16.0,152.0,39.0,Summer,1988,Gymnastics,Gymnastics Women's Team All-Around,Gold
UKR,Oksana Serhivna Baiul,F,16.0,159.0,43.0,Winter,1994,Figure Skating,Figure Skating Women's Singles,Gold
USA,Kathleen Baker,F,19.0,173.0,68.0,Summer,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
USA,Keshia Chantay Baker (-Kirtz),F,24.0,170.0,62.0,Summer,2012,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
USA,Laurie Baker (-Mutch),F,21.0,170.0,61.0,Winter,1998,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
USA,Jill Bakken (-Linder),F,25.0,167.0,65.0,Winter,2002,Bobsleigh,Bobsleigh Women's Two,Gold
ROU,Iolanda Bala (-Ster),F,23.0,185.0,72.0,Summer,1960,Athletics,Athletics Women's High Jump,Gold
ROU,Iolanda Bala (-Ster),F,27.0,185.0,72.0,Summer,1964,Athletics,Athletics Women's High Jump,Gold
ESP,Marta Bald Marn,F,17.0,165.0,40.0,Summer,1996,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
USA,"Catherine Northcutt ""Catie"" Ball (-Condon)",F,17.0,170.0,58.0,Summer,1968,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
FRA,Flicia Michele Sylviane Ballanger (-Vetu),F,25.0,168.0,70.0,Summer,1996,Cycling,Cycling Women's Sprint,Gold
FRA,Flicia Michele Sylviane Ballanger (-Vetu),F,29.0,168.0,70.0,Summer,2000,Cycling,Cycling Women's Sprint,Gold
FRA,Flicia Michele Sylviane Ballanger (-Vetu),F,29.0,168.0,70.0,Summer,2000,Cycling,Cycling Women's 500 metres Time Trial,Gold
AUS,"Suzanne Elspeth ""Suzy"" Balogh",F,31.0,166.0,85.0,Summer,2004,Shooting,Shooting Women's Trap,Gold
GDR,Ramona Balthasar,F,24.0,177.0,71.0,Summer,1988,Rowing,Rowing Women's Coxed Eights,Gold
ROU,Oana Mihaela Ban,F,18.0,139.0,36.0,Summer,2004,Gymnastics,Gymnastics Women's Team All-Around,Gold
