NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
USA,Evelyn Ashford (-Washington),F,31.0,165.0,52.0,Summer,1988,Athletics,Athletics Women's 100 metres,Silver
AUS,Jessica Ashwood,F,23.0,173.0,64.0,Summer,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
GRE,Dimitra Asilian,F,32.0,170.0,60.0,Summer,2004,Water Polo,Water Polo Women's Water Polo,Silver
SWE,"Kosovare ""Kosse"" Asllani",F,27.0,166.0,56.0,Summer,2016,Football,Football Women's Football,Silver
SWE,Jenni Anna Christina Asserholt,F,17.0,172.0,71.0,Winter,2006,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
ROU,"Alina (Galina-) Astafei (-Stavariu, -Kreiig)",F,23.0,181.0,59.0,Summer,1992,Athletics,Athletics Women's High Jump,Silver
URS,Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,Summer,1960,Gymnastics,Gymnastics Women's Floor Exercise,Silver
URS,Polina Hryhorivna Astakhova,F,27.0,166.0,56.0,Summer,1964,Gymnastics,Gymnastics Women's Floor Exercise,Silver
USA,"Susanne Jean ""Susie"" Atwood",F,19.0,170.0,66.0,Summer,1972,Swimming,Swimming Women's 200 metres Backstroke,Silver
CAN,Susan Margaret Auch,F,27.0,172.0,65.0,Winter,1994,Speed Skating,Speed Skating Women's 500 metres,Silver
CAN,Susan Margaret Auch,F,31.0,172.0,65.0,Winter,1998,Speed Skating,Speed Skating Women's 500 metres,Silver
GDR,Ingrid Auerswald-Lange (Brestrich-),F,31.0,168.0,58.0,Summer,1988,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
GER,Sandra Auffarth,F,29.0,170.0,57.0,Summer,2016,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
NOR,Berit Kristine Aunli-Kvello,F,27.0,170.0,56.0,Winter,1984,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,Silver
FRA,Camille Anas Ayglon-Saurina,F,31.0,180.0,66.0,Summer,2016,Handball,Handball Women's Handball,Silver
ARG,"Luciana Paula ""Lucha"" Aymar",F,23.0,178.0,59.0,Summer,2000,Hockey,Hockey Women's Hockey,Silver
ARG,"Luciana Paula ""Lucha"" Aymar",F,34.0,178.0,59.0,Summer,2012,Hockey,Hockey Women's Hockey,Silver
