sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
241826,121120,Jenny Louise Topping,F,24.0,167.0,78.0,USA,USA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
241949,121189,Yelena Andonisovna Tornikidu,F,27.0,185.0,73.0,Russia,EUN,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,Gold
241974,121203,Sofia Toro Prieto-Puga,F,21.0,159.0,68.0,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Gold
242037,121236,"Gwendolyn Lenna ""Gwen"" Torrence (-Waller, -Smith)",F,27.0,170.0,57.0,USA,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 200 metres,Gold
242038,121236,"Gwendolyn Lenna ""Gwen"" Torrence (-Waller, -Smith)",F,27.0,170.0,57.0,USA,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
242041,121236,"Gwendolyn Lenna ""Gwen"" Torrence (-Waller, -Smith)",F,31.0,170.0,57.0,USA,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
242074,121258,"Dara Grace Torres (-Hoffman, -Minas)",F,17.0,183.0,68.0,USA,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
242078,121258,"Dara Grace Torres (-Hoffman, -Minas)",F,25.0,183.0,68.0,USA,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
242081,121258,"Dara Grace Torres (-Hoffman, -Minas)",F,33.0,183.0,68.0,USA,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
242083,121258,"Dara Grace Torres (-Hoffman, -Minas)",F,33.0,183.0,68.0,USA,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
242158,121294,Regla Radameris Torres Herrera,F,17.0,191.0,78.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Gold
242159,121294,Regla Radameris Torres Herrera,F,21.0,191.0,78.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Gold
242160,121294,Regla Radameris Torres Herrera,F,25.0,191.0,78.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Gold
242250,121341,Jayne Torvill (-Christensen),F,26.0,160.0,48.0,UK,GBR,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,Gold
242256,121345,Eri Tosaka,F,22.0,152.0,48.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Flyweight, Freestyle",Gold
242414,121413,Nomi Tth,F,28.0,180.0,67.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,Gold
242442,121426,Tatyana Ivanovna Totmyanina,F,24.0,160.0,44.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Mixed Pairs,Gold
242528,121471,Josephine Maria Touray,F,24.0,165.0,57.0,Denmark,DEN,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,Gold
242678,121537,Julie Gail Towers (-Richardson),F,23.0,165.0,62.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold
242726,121559,Susannah Townsend,F,27.0,168.0,61.0,UK,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Gold
242771,121584,Anne Tnnessen,F,26.0,164.0,64.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,Gold
242789,121592,Kari Traa,F,28.0,168.0,65.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Women's Moguls,Gold
243181,121786,Birgit Treiber (-Beinroth),F,16.0,172.0,66.0,Germany,GDR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
243444,121922,Giovanna Trillini,F,22.0,164.0,59.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Individual",Gold
243445,121922,Giovanna Trillini,F,22.0,164.0,59.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Women's Foil, Team",Gold
243447,121922,Giovanna Trillini,F,26.0,164.0,59.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Women's Foil, Team",Gold
243449,121922,Giovanna Trillini,F,30.0,164.0,59.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's Foil, Team",Gold
