NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
GBR,Anna Rose Bebington-Watkins,F,25.0,183.0,78.0,Summer,2008,Rowing,Rowing Women's Double Sculls,Bronze
FRA,Sylvie Becaert,F,30.0,166.0,54.0,Winter,2006,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze
GBR,Laura Bechtolsheimer (-Tomlinson),F,27.0,169.0,56.0,Summer,2012,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
YUG,Mersada Beirspahi,F,22.0,185.0,75.0,Summer,1980,Basketball,Basketball Women's Basketball,Bronze
FRG,Ellen Becker,F,23.0,180.0,83.0,Summer,1984,Rowing,Rowing Women's Coxless Pairs,Bronze
GDR,Sabine Becker,F,20.0,173.0,59.0,Winter,1980,Speed Skating,"Speed Skating Women's 1,500 metres",Bronze
USA,Courtenay Compton Becker-Dey,F,31.0,173.0,65.0,Summer,1996,Sailing,Sailing Women's One Person Dinghy,Bronze
CAN,Janine Elizabeth Beckie,F,21.0,173.0,63.0,Summer,2016,Football,Football Women's Football,Bronze
FRG,Gudrun Beckmann,F,17.0,174.0,62.0,Summer,1972,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
FRG,Gudrun Beckmann,F,17.0,174.0,62.0,Summer,1972,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
CAN,Myriam Bdard,F,22.0,161.0,54.0,Winter,1992,Biathlon,Biathlon Women's 15 kilometres,Bronze
USA,"Elizabeth Anne ""Beth"" Beglin",F,27.0,165.0,58.0,Summer,1984,Hockey,Hockey Women's Hockey,Bronze
GDR,Anke Behmer (Vater-),F,27.0,174.0,62.0,Summer,1988,Athletics,Athletics Women's Heptathlon,Bronze
GER,Melanie Behringer,F,22.0,172.0,71.0,Summer,2008,Football,Football Women's Football,Bronze
USA,Elizabeth Lyon Beisel,F,19.0,168.0,68.0,Summer,2012,Swimming,Swimming Women's 200 metres Backstroke,Bronze
GRE,Sofia Bekatorou (-Kosmatopoulos),F,30.0,172.0,62.0,Summer,2008,Sailing,Sailing Women's Three Person Keelboat,Bronze
HUN,Ilona Bksi,F,18.0,166.0,55.0,Summer,1972,Gymnastics,Gymnastics Women's Team All-Around,Bronze
CAN,Jose Blanger,F,30.0,163.0,63.0,Summer,2016,Football,Football Women's Football,Bronze
NED,Claudia Renate Belderbos,F,27.0,175.0,72.0,Summer,2012,Rowing,Rowing Women's Coxed Eights,Bronze
ITA,Stefania Belmondo,F,23.0,158.0,45.0,Winter,1992,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
ITA,Stefania Belmondo,F,25.0,158.0,45.0,Winter,1994,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,Bronze
ITA,Stefania Belmondo,F,25.0,158.0,45.0,Winter,1994,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
ITA,Stefania Belmondo,F,29.0,158.0,45.0,Winter,1998,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
ITA,Stefania Belmondo,F,33.0,158.0,45.0,Winter,2002,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Bronze
ESP,Mireia Belmonte Garca,F,25.0,170.0,59.0,Summer,2016,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
EUN,Yelena Pavlovna Belova (-Kalyanova),F,26.0,172.0,58.0,Winter,1992,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Bronze
