Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Athletics Men's High Jump,Summer,M,Gold,131788.0,66320.0,23.0,191.5,80.0,1960.0
Athletics Men's Javelin Throw,Summer,M,Gold,170175.0,85513.0,26.0,187.0,88.0,1968.0
"Athletics Men's Javelin Throw, Both Hands",Summer,M,Gold,207229.0,103984.0,20.0,181.0,81.0,1912.0
"Athletics Men's Javelin Throw, Freestyle",Summer,M,Gold,136508.0,68647.0,27.0,190.0,88.0,1907.0
Athletics Men's Long Jump,Summer,M,Gold,137692.0,69210.0,24.0,184.0,74.0,1960.0
Athletics Men's Marathon,Summer,M,Gold,122982.0,62160.0,28.0,170.0,57.25,1960.0
Athletics Men's Pentathlon,Summer,M,Gold,136008.5,68431.0,24.0,183.5,78.0,1916.0
Athletics Men's Pentathlon (Ancient),Summer,M,Gold,156245.0,78465.0,25.0,183.0,80.0,1906.0
Athletics Men's Pole Vault,Summer,M,Gold,99007.5,50105.5,24.0,183.0,75.0,1958.0
Athletics Men's Shot Put,Summer,M,Gold,154305.0,77472.0,24.0,190.5,116.5,1960.0
"Athletics Men's Shot Put, Both Hands",Summer,M,Gold,204283.0,102565.0,28.0,195.0,115.0,1912.0
Athletics Men's Standing High Jump,Summer,M,Gold,65577.0,33557.0,30.0,185.0,79.0,1906.0
Athletics Men's Standing Long Jump,Summer,M,Gold,65581.0,33557.0,30.0,185.0,79.0,1906.0
Athletics Men's Standing Triple Jump,Summer,M,Gold,65577.5,33557.0,28.0,185.0,79.0,1902.0
Athletics Men's Stone Throw,Summer,M,Gold,77865.0,39535.0,26.0,185.0,81.0,1906.0
Athletics Men's Triple Jump,Summer,M,Gold,175085.0,87968.0,25.0,183.0,74.0,1960.0
Badminton Men's Doubles,Summer,M,Gold,118582.5,60003.5,27.5,181.0,74.0,2004.0
Badminton Men's Singles,Summer,M,Gold,99666.0,50431.0,24.0,178.0,70.0,2004.0
Badminton Mixed Doubles,Summer,M,Gold,202189.0,101349.5,22.0,179.5,74.5,2006.0
Baseball Men's Baseball,Summer,M,Gold,135314.0,68087.0,26.0,183.0,86.0,2000.0
Basketball Men's Basketball,Summer,M,Gold,115546.0,58536.0,25.0,198.0,95.0,1980.0
Basque Pelota Men's Two-Man Teams With Cesta,Summer,M,Gold,151631.5,76270.5,26.0,,,1900.0
Beach Volleyball Men's Beach Volleyball,Summer,M,Gold,95362.5,48385.5,30.0,190.0,92.0,2006.0
Biathlon Men's 10 kilometres Sprint,Winter,M,Gold,88381.5,44809.0,24.0,178.5,69.5,1996.0
Biathlon Men's 12.5 kilometres Pursuit,Winter,M,Gold,60633.0,31028.5,28.0,180.5,69.0,2008.0
Biathlon Men's 15 kilometres Mass Start,Winter,M,Gold,233089.0,116916.0,28.0,176.0,72.0,2010.0
Biathlon Men's 20 kilometres,Winter,M,Gold,137283.0,69012.0,28.0,178.0,72.5,1988.0
Biathlon Men's 4 x 7.5 kilometres Relay,Winter,M,Gold,119863.5,60682.0,26.0,179.0,75.0,1992.0
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Winter,M,Gold,127903.5,64433.5,34.0,181.5,71.0,2014.0
Bobsleigh Men's Four,Winter,M,Gold,124185.0,62691.5,29.0,185.0,94.5,1980.0
Bobsleigh Men's Four/Five,Winter,M,Gold,182306.0,91640.0,33.0,173.0,,1928.0
Bobsleigh Men's Two,Winter,M,Gold,144458.5,72505.5,31.0,184.5,93.0,1982.0
Boxing Men's Bantamweight,Summer,M,Gold,151074.0,75820.0,21.0,166.0,54.0,1968.0
Boxing Men's Featherweight,Summer,M,Gold,166639.0,83707.0,20.0,168.0,57.0,1964.0
Boxing Men's Flyweight,Summer,M,Gold,123619.5,62449.0,22.0,165.0,51.0,1970.0
Boxing Men's Heavyweight,Summer,M,Gold,206161.0,103491.0,24.0,190.0,91.0,1968.0
Boxing Men's Light-Flyweight,Summer,M,Gold,94883.0,48034.0,23.0,165.0,48.0,1992.0
Boxing Men's Light-Heavyweight,Summer,M,Gold,153316.0,76944.0,23.0,184.0,81.0,1972.0
Boxing Men's Light-Middleweight,Summer,M,Gold,154053.0,77344.0,26.0,176.0,71.0,1976.0
Boxing Men's Light-Welterweight,Summer,M,Gold,128768.0,64815.0,23.0,171.0,64.0,1984.0
Boxing Men's Lightweight,Summer,M,Gold,141782.0,71127.0,23.0,170.0,60.0,1968.0
Boxing Men's Middleweight,Summer,M,Gold,142178.0,71328.0,23.5,182.0,75.0,1968.0
Boxing Men's Super-Heavyweight,Summer,M,Gold,110686.0,55982.0,23.0,195.0,100.75,2000.0
Boxing Men's Welterweight,Summer,M,Gold,151437.5,76033.5,24.0,176.0,67.0,1970.0
"Canoeing Men's Canadian Doubles, 1,000 metres",Summer,M,Gold,135429.5,68067.5,24.0,178.0,80.0,1980.0
"Canoeing Men's Canadian Doubles, 10,000 metres",Summer,M,Gold,145210.0,72877.0,24.0,173.0,72.0,1950.0
"Canoeing Men's Canadian Doubles, 500 metres",Summer,M,Gold,164463.5,82621.5,24.0,180.0,80.5,1992.0
"Canoeing Men's Canadian Doubles, Slalom",Summer,M,Gold,96781.5,49006.0,26.0,177.0,75.0,2002.0
"Canoeing Men's Canadian Singles, 1,000 metres",Summer,M,Gold,97463.0,49334.0,25.0,183.0,84.0,1980.0
"Canoeing Men's Canadian Singles, 10,000 metres",Summer,M,Gold,92256.0,46724.0,27.0,179.5,80.5,1952.0
"Canoeing Men's Canadian Singles, 200 metres",Summer,M,Gold,38995.5,20080.0,28.0,185.0,93.0,2014.0
"Canoeing Men's Canadian Singles, 500 metres",Summer,M,Gold,95439.0,48318.0,25.0,184.0,83.0,1992.0
"Canoeing Men's Canadian Singles, Slalom",Summer,M,Gold,70741.0,36038.5,24.0,183.0,74.0,2002.0
"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Summer,M,Gold,66081.0,33646.5,21.0,,,1936.0
"Canoeing Men's Folding Kayak Singles, 10 kilometres",Summer,M,Gold,99690.0,50441.0,27.0,,,1936.0
"Canoeing Men's Kayak Doubles, 1,000 metres",Summer,M,Gold,124514.5,62860.0,27.0,183.0,84.0,1980.0
"Canoeing Men's Kayak Doubles, 10,000 metres",Summer,M,Gold,189105.5,94855.0,26.0,175.0,73.5,1950.0
"Canoeing Men's Kayak Doubles, 200 metres",Summer,M,Gold,126302.0,63722.5,23.5,186.5,87.5,2014.0
"Canoeing Men's Kayak Doubles, 500 metres",Summer,M,Gold,128955.0,64990.0,25.0,181.5,85.0,1992.0
"Canoeing Men's Kayak Fours, 1,000 metres",Summer,M,Gold,113986.5,57751.5,25.0,186.5,87.0,1990.0
Canoeing Men's Kayak Relay 4 x 500 metres,Summer,M,Gold,158965.0,79959.0,24.5,178.5,80.0,1960.0
"Canoeing Men's Kayak Singles, 1,000 metres",Summer,M,Gold,97716.0,49457.0,27.0,185.0,81.5,1980.0
"Canoeing Men's Kayak Singles, 10,000 metres",Summer,M,Gold,99729.0,50441.0,28.5,176.0,72.0,1950.0
"Canoeing Men's Kayak Singles, 200 metres",Summer,M,Gold,123740.5,62335.5,29.5,177.5,80.0,2014.0
"Canoeing Men's Kayak Singles, 500 metres",Summer,M,Gold,122987.0,62161.0,25.0,187.0,89.5,1992.0
"Canoeing Men's Kayak Singles, Slalom",Summer,M,Gold,91697.0,46467.0,23.5,179.5,73.5,2002.0
Cricket Men's Cricket,Summer,M,Gold,43042.0,22192.0,24.0,,,1900.0
Croquet Mixed Doubles,Summer,M,Gold,60157.0,30637.5,18.5,,,1900.0
"Croquet Mixed Singles, One Ball",Summer,M,Gold,10961.0,5989.0,15.0,,,1900.0
"Croquet Mixed Singles, Two Balls",Summer,M,Gold,257687.0,129049.0,58.0,,,1900.0
