Event,Season,Sex,Medal,Age,Height,Weight,Year
Rowing Men's Single Sculls,Summer,M,Gold,26.0,189.0,92.0,1980
Rugby Men's Rugby,Summer,M,Gold,23.5,178.0,74.5,1910
Rugby Sevens Men's Rugby Sevens,Summer,M,Gold,26.0,189.0,98.0,2016
Sailing Men's One Person Dinghy,Summer,M,Gold,27.0,183.0,89.0,2004
Sailing Men's One Person Heavyweight Dinghy,Summer,M,Gold,32.0,190.0,92.5,2014
Sailing Men's Skiff,Summer,M,Gold,25.5,183.5,79.0,2014
Sailing Men's Two Person Dinghy,Summer,M,Gold,29.0,182.5,68.5,2002
Sailing Men's Two Person Keelboat,Summer,M,Gold,35.0,185.0,97.5,2008
Sailing Men's Windsurfer,Summer,M,Gold,25.5,184.5,70.0,2002
Sailing Mixed 5.5 metres,Summer,M,Gold,26.0,183.0,79.0,1964
Sailing Mixed Multihull,Summer,M,Gold,33.0,180.0,73.0,1992
Sailing Mixed One Person Dinghy,Summer,M,Gold,23.5,182.5,85.0,1974
Sailing Mixed Skiff,Summer,M,Gold,28.0,181.0,77.5,2004
Sailing Mixed Three Person Keelboat,Summer,M,Gold,33.0,183.0,87.0,1976
Sailing Mixed Two Person Dinghy,Summer,M,Gold,23.5,176.5,69.0,1980
Sailing Mixed Two Person Heavyweight Dinghy,Summer,M,Gold,26.0,182.0,80.0,1976
Sailing Mixed Two Person Keelboat,Summer,M,Gold,36.0,183.0,90.0,1976
Sailing Mixed Windsurfer,Summer,M,Gold,24.0,175.0,65.0,1988
"Shooting Men's Air Pistol, 10 metres",Summer,M,Gold,29.5,175.0,77.5,2002
"Shooting Men's Air Rifle, 10 metres",Summer,M,Gold,25.0,174.0,70.0,2000
Shooting Men's Double Trap,Summer,M,Gold,29.0,183.0,84.0,2006
"Shooting Men's Free Pistol, 50 metres",Summer,M,Gold,33.0,175.5,79.5,1990
"Shooting Men's Free Rifle, Three Positions, 300 metres",Summer,M,Gold,33.0,174.0,77.5,1958
"Shooting Men's Rapid-Fire Pistol, 25 metres",Summer,M,Gold,34.0,168.0,73.0,1994
"Shooting Men's Running Target, 10 metres",Summer,M,Gold,26.0,175.0,75.0,1998
"Shooting Men's Running Target, 50 metres",Summer,M,Gold,22.5,172.5,70.5,1986
Shooting Men's Skeet,Summer,M,Gold,25.5,173.0,80.0,2006
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Summer,M,Gold,27.0,178.0,80.0,1992
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Summer,M,Gold,32.5,174.5,78.0,1994
Shooting Men's Trap,Summer,M,Gold,29.0,178.0,86.0,2000
"Shooting Mixed Free Pistol, 50 metres",Summer,M,Gold,30.0,177.0,82.0,1974
"Shooting Mixed Free Rifle, Three Positions, 300 metres",Summer,M,Gold,32.0,176.5,79.5,1970
"Shooting Mixed Rapid-Fire Pistol, 25 metres",Summer,M,Gold,34.0,178.0,71.0,1974
"Shooting Mixed Running Target, 50 metres",Summer,M,Gold,30.0,181.0,87.0,1976
Shooting Mixed Skeet,Summer,M,Gold,27.0,179.5,83.0,1978
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Summer,M,Gold,25.0,176.0,73.0,1974
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Summer,M,Gold,28.5,176.0,77.5,1974
Shooting Mixed Trap,Summer,M,Gold,34.0,180.0,83.0,1980
"Short Track Speed Skating Men's 1,000 metres",Winter,M,Gold,24.0,172.0,65.0,2002
"Short Track Speed Skating Men's 1,500 metres",Winter,M,Gold,20.0,173.0,66.5,2008
"Short Track Speed Skating Men's 5,000 metres Relay",Winter,M,Gold,24.0,173.0,71.0,2002
Short Track Speed Skating Men's 500 metres,Winter,M,Gold,25.0,173.0,68.0,2006
Skeleton Men's Skeleton,Winter,M,Gold,31.5,182.5,83.0,2008
"Ski Jumping Men's Large Hill, Individual",Winter,M,Gold,21.5,173.0,57.5,1993
"Ski Jumping Men's Large Hill, Team",Winter,M,Gold,23.5,180.0,63.0,2000
"Ski Jumping Men's Normal Hill, Individual",Winter,M,Gold,24.5,173.0,60.0,1986
Snowboarding Men's Boardercross,Winter,M,Gold,29.0,185.0,91.0,2010
Snowboarding Men's Giant Slalom,Winter,M,Gold,26.0,178.0,81.0,1998
Snowboarding Men's Halfpipe,Winter,M,Gold,22.0,175.0,70.0,2006
Snowboarding Men's Parallel Giant Slalom,Winter,M,Gold,26.5,181.0,88.5,2008
Snowboarding Men's Parallel Slalom,Winter,M,Gold,27.0,179.0,82.0,2014
Snowboarding Men's Slopestyle,Winter,M,Gold,20.0,178.0,75.0,2014
"Speed Skating Men's 1,000 metres",Winter,M,Gold,25.0,185.0,86.0,1994
"Speed Skating Men's 1,500 metres",Winter,M,Gold,26.0,182.5,78.5,1982
"Speed Skating Men's 10,000 metres",Winter,M,Gold,24.0,184.0,82.0,1988
"Speed Skating Men's 5,000 metres",Winter,M,Gold,27.0,185.0,80.0,1986
Speed Skating Men's 500 metres,Winter,M,Gold,24.0,180.0,78.0,1984
Speed Skating Men's Allround,Winter,M,Gold,30.0,167.0,67.0,1924
Speed Skating Men's Team Pursuit (8 laps),Winter,M,Gold,24.0,183.5,80.0,2010
"Swimming Men's 1,500 metres Freestyle",Summer,M,Gold,20.0,185.0,75.5,1982
Swimming Men's 10 kilometres Open Water,Summer,M,Gold,27.0,192.0,86.0,2012
Swimming Men's 100 metres Backstroke,Summer,M,Gold,21.0,190.0,84.5,1990
Swimming Men's 100 metres Breaststroke,Summer,M,Gold,23.0,183.0,80.0,1992
Swimming Men's 100 metres Butterfly,Summer,M,Gold,22.0,186.0,84.0,1992
Swimming Men's 100 metres Freestyle,Summer,M,Gold,21.5,191.0,80.0,1978
Swimming Men's 100 yard Freestyle,Summer,M,Gold,23.0,187.0,83.0,1904
Swimming Men's 200 metres Backstroke,Summer,M,Gold,21.0,189.0,84.0,1990
Swimming Men's 200 metres Breaststroke,Summer,M,Gold,21.0,185.0,77.0,1988
Swimming Men's 200 metres Butterfly,Summer,M,Gold,22.0,188.0,80.0,1986
Swimming Men's 200 metres Freestyle,Summer,M,Gold,20.5,190.0,78.0,1990
Swimming Men's 200 metres Individual Medley,Summer,M,Gold,22.0,191.0,86.0,1996
Swimming Men's 220 yard Freestyle,Summer,M,Gold,19.0,183.0,70.0,1904
Swimming Men's 4 x 100 metres Freestyle Relay,Summer,M,Gold,22.0,190.0,84.0,1992
Swimming Men's 4 x 100 metres Medley Relay,Summer,M,Gold,22.0,188.0,84.0,1988
Swimming Men's 4 x 200 metres Freestyle Relay,Summer,M,Gold,21.0,188.0,81.0,1980
Swimming Men's 4 x 250 metres Freestyle Relay,Summer,M,Gold,24.0,187.0,83.0,1906
Swimming Men's 4 x 50 Yard Freestyle Relay,Summer,M,Gold,19.0,183.0,70.0,1904
Swimming Men's 400 metres Freestyle,Summer,M,Gold,20.0,185.0,79.0,1980
Swimming Men's 400 metres Individual Medley,Summer,M,Gold,21.0,187.5,83.0,1990
Swimming Men's 440 yard Freestyle,Summer,M,Gold,19.0,183.0,70.0,1904
Swimming Men's 50 metres Freestyle,Summer,M,Gold,22.0,198.0,87.0,2000
Swimming Men's 50 yard Freestyle,Summer,M,Gold,23.0,187.0,83.0,1904
Swimming Men's One Mile Freestyle,Summer,M,Gold,21.0,165.0,66.0,1906
Table Tennis Men's Doubles,Summer,M,Gold,23.0,171.0,63.0,1996
Table Tennis Men's Singles,Summer,M,Gold,24.0,175.5,71.0,2002
Table Tennis Men's Team,Summer,M,Gold,27.0,176.0,72.0,2012
Taekwondo Men's Featherweight,Summer,M,Gold,21.0,180.0,68.0,2008
Taekwondo Men's Flyweight,Summer,M,Gold,22.0,180.0,58.0,2008
Taekwondo Men's Heavyweight,Summer,M,Gold,26.0,191.0,91.0,2008
Taekwondo Men's Welterweight,Summer,M,Gold,25.0,186.0,80.0,2008
Tennis Men's Doubles,Summer,M,Gold,26.5,185.0,80.0,2002
Tennis Men's Singles,Summer,M,Gold,25.5,190.0,82.0,2002
Tennis Mixed Doubles,Summer,M,Gold,29.0,193.5,87.0,2014
Trampolining Men's Individual,Summer,M,Gold,23.0,172.0,62.0,2008
Triathlon Men's Olympic Distance,Summer,M,Gold,26.0,184.0,70.0,2008
Tug-Of-War Men's Tug-Of-War,Summer,M,Gold,23.5,183.0,81.5,1906
Volleyball Men's Volleyball,Summer,M,Gold,27.0,195.0,89.0,1988
Water Polo Men's Water Polo,Summer,M,Gold,26.0,189.0,91.0,1984
Weightlifting Men's Bantamweight,Summer,M,Gold,25.0,152.0,56.0,1984
Weightlifting Men's Featherweight,Summer,M,Gold,25.0,156.0,62.0,1984
Weightlifting Men's Flyweight,Summer,M,Gold,23.0,153.0,54.0,1984
Weightlifting Men's Heavyweight,Summer,M,Gold,24.5,180.0,107.0,1974
Weightlifting Men's Heavyweight I,Summer,M,Gold,27.0,177.0,96.0,1986
Weightlifting Men's Heavyweight II,Summer,M,Gold,23.0,182.0,112.0,1988
Weightlifting Men's Light-Heavyweight,Summer,M,Gold,26.0,172.0,83.0,1980
Weightlifting Men's Lightweight,Summer,M,Gold,24.0,165.0,69.0,1980
Weightlifting Men's Middle-Heavyweight,Summer,M,Gold,25.0,174.0,93.0,1984
Weightlifting Men's Middleweight,Summer,M,Gold,24.5,169.5,75.0,1978
Weightlifting Men's Super-Heavyweight,Summer,M,Gold,25.5,185.0,155.0,1994
"Weightlifting Men's Unlimited, One Hand",Summer,M,Gold,24.0,182.5,108.0,1901
"Wrestling Men's Bantamweight, Freestyle",Summer,M,Gold,26.0,165.0,57.0,1972
"Wrestling Men's Bantamweight, Greco-Roman",Summer,M,Gold,24.0,162.0,57.0,1976
"Wrestling Men's Featherweight, Freestyle",Summer,M,Gold,25.0,168.0,62.0,1984
"Wrestling Men's Featherweight, Greco-Roman",Summer,M,Gold,26.0,167.0,62.0,1982
