Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Boxing Men's Light-Middleweight,Summer,M,Bronze,159842.0,80196.0,22.0,178.0,71.0,1980.0
Boxing Men's Light-Welterweight,Summer,M,Bronze,121783.5,61588.5,23.0,173.5,64.0,1986.0
Boxing Men's Lightweight,Summer,M,Bronze,153826.0,77212.0,23.0,171.0,60.0,1988.0
Boxing Men's Middleweight,Summer,M,Bronze,161996.0,81328.0,23.0,179.0,75.0,1988.0
Boxing Men's Super-Heavyweight,Summer,M,Bronze,160010.0,80291.0,25.0,190.0,91.0,2000.0
Boxing Men's Welterweight,Summer,M,Bronze,139450.5,70039.5,23.0,175.5,67.0,1986.0
"Canoeing Men's Canadian Doubles, 1,000 metres",Summer,M,Bronze,124527.0,62887.0,24.0,179.0,80.0,1988.0
"Canoeing Men's Canadian Doubles, 10,000 metres",Summer,M,Bronze,71008.0,36179.5,21.5,168.5,67.5,1952.0
"Canoeing Men's Canadian Doubles, 500 metres",Summer,M,Bronze,137765.0,69279.5,24.5,181.5,80.0,1992.0
"Canoeing Men's Canadian Doubles, Slalom",Summer,M,Bronze,131209.5,66051.5,24.0,174.5,74.0,2002.0
"Canoeing Men's Canadian Singles, 1,000 metres",Summer,M,Bronze,175767.0,88353.0,26.0,184.0,84.0,1984.0
"Canoeing Men's Canadian Singles, 200 metres",Summer,M,Bronze,207015.5,103941.5,24.0,177.5,85.5,2014.0
"Canoeing Men's Canadian Singles, 500 metres",Summer,M,Bronze,140974.0,70769.0,23.0,184.0,85.0,1992.0
"Canoeing Men's Canadian Singles, Slalom",Summer,M,Bronze,120198.5,60533.5,25.5,180.5,74.0,2002.0
"Canoeing Men's Kayak Doubles, 1,000 metres",Summer,M,Bronze,120638.5,60983.0,26.5,180.0,80.0,1984.0
"Canoeing Men's Kayak Doubles, 10,000 metres",Summer,M,Bronze,22592.0,11908.0,27.0,178.0,74.5,1948.0
"Canoeing Men's Kayak Doubles, 200 metres",Summer,M,Bronze,164291.5,82562.0,28.5,182.0,85.0,2014.0
"Canoeing Men's Kayak Doubles, 500 metres",Summer,M,Bronze,155728.5,78148.0,23.5,187.5,86.0,1992.0
"Canoeing Men's Kayak Fours, 1,000 metres",Summer,M,Bronze,113212.0,57281.0,25.0,185.0,85.5,1990.0
Canoeing Men's Kayak Relay 4 x 500 metres,Summer,M,Bronze,103917.5,52554.0,22.0,180.5,75.0,1960.0
"Canoeing Men's Kayak Singles, 1,000 metres",Summer,M,Bronze,66823.5,34097.0,25.0,186.0,87.0,1986.0
"Canoeing Men's Kayak Singles, 200 metres",Summer,M,Bronze,51004.0,26216.0,31.0,180.0,91.0,2016.0
"Canoeing Men's Kayak Singles, 500 metres",Summer,M,Bronze,97713.0,49457.0,25.0,184.0,86.0,1992.0
"Canoeing Men's Kayak Singles, Slalom",Summer,M,Bronze,74043.5,37697.5,23.0,179.0,73.0,2002.0
Cross Country Skiing Men's 10 kilometres,Winter,M,Bronze,146897.0,73732.0,28.0,184.0,74.0,1994.0
