Event,Season,Sex,Medal,Age,Height,Weight,Year
"Equestrianism Men's Dressage, Team",Summer,M,Bronze,46.0,167.0,62.0,1948
"Equestrianism Men's Jumping, Individual",Summer,M,Bronze,31.5,168.0,64.5,1938
"Equestrianism Men's Jumping, Team",Summer,M,Bronze,30.0,175.0,65.0,1944
"Equestrianism Men's Three-Day Event, Individual",Summer,M,Bronze,40.0,176.0,70.5,1958
"Equestrianism Men's Three-Day Event, Team",Summer,M,Bronze,29.0,174.0,70.0,1956
"Equestrianism Mixed Dressage, Individual",Summer,M,Bronze,40.0,183.0,70.0,1976
"Equestrianism Mixed Dressage, Team",Summer,M,Bronze,40.0,176.0,68.0,1992
"Equestrianism Mixed Jumping, Individual",Summer,M,Bronze,32.0,175.0,69.0,1980
"Equestrianism Mixed Jumping, Team",Summer,M,Bronze,35.0,178.0,72.0,1988
"Equestrianism Mixed Three-Day Event, Individual",Summer,M,Bronze,30.5,176.5,70.0,1978
"Equestrianism Mixed Three-Day Event, Team",Summer,M,Bronze,34.0,179.0,72.0,1984
"Fencing Men's Foil, Individual",Summer,M,Bronze,26.0,183.0,77.0,1988
"Fencing Men's Foil, Team",Summer,M,Bronze,25.0,182.0,73.0,1982
"Fencing Men's Sabre, Individual",Summer,M,Bronze,29.0,179.0,77.0,1984
"Fencing Men's Sabre, Team",Summer,M,Bronze,29.0,180.0,76.5,1976
"Fencing Men's epee, Individual",Summer,M,Bronze,28.0,186.0,82.0,1988
"Fencing Men's epee, Team",Summer,M,Bronze,27.0,185.0,78.0,1980
Figure Skating Men's Singles,Winter,M,Bronze,21.0,170.0,61.0,1992
Figure Skating Mixed Ice Dancing,Winter,M,Bronze,28.0,177.0,71.5,1996
Figure Skating Mixed Pairs,Winter,M,Bronze,28.0,177.0,74.0,1988
Figure Skating Mixed Team,Winter,M,Bronze,26.0,175.0,71.5,2014
Football Men's Football,Summer,M,Bronze,23.0,178.0,73.0,1984
Freestyle Skiing Men's Aerials,Winter,M,Bronze,22.0,172.5,70.0,2004
Freestyle Skiing Men's Halfpipe,Winter,M,Bronze,24.0,178.0,65.0,2014
Freestyle Skiing Men's Moguls,Winter,M,Bronze,26.0,175.0,74.0,2002
Freestyle Skiing Men's Ski Cross,Winter,M,Bronze,29.5,185.0,87.0,2012
Freestyle Skiing Men's Slopestyle,Winter,M,Bronze,19.0,183.0,73.0,2014
Golf Men's Individual,Summer,M,Bronze,38.0,193.0,86.0,2016
Gymnastics Men's Floor Exercise,Summer,M,Bronze,22.0,165.0,62.0,1988
Gymnastics Men's Horizontal Bar,Summer,M,Bronze,24.0,169.0,62.0,1988
Gymnastics Men's Horse Vault,Summer,M,Bronze,23.0,166.0,64.0,1984
Gymnastics Men's Individual All-Around,Summer,M,Bronze,24.0,167.0,64.0,1984
Gymnastics Men's Parallel Bars,Summer,M,Bronze,24.0,167.5,60.0,1986
Gymnastics Men's Pommelled Horse,Summer,M,Bronze,22.5,169.0,64.5,1982
Gymnastics Men's Rings,Summer,M,Bronze,24.0,163.0,62.0,1984
Gymnastics Men's Rope Climbing,Summer,M,Bronze,24.0,167.0,56.0,1896
Gymnastics Men's Team All-Around,Summer,M,Bronze,24.0,167.0,62.0,1980
Handball Men's Handball,Summer,M,Bronze,27.0,190.0,92.0,1992
Hockey Men's Hockey,Summer,M,Bronze,25.0,177.5,75.0,1988
Ice Hockey Men's Ice Hockey,Winter,M,Bronze,26.0,182.0,84.0,1988
Judo Men's Extra-Lightweight,Summer,M,Bronze,23.0,166.0,60.0,1998
Judo Men's Half-Heavyweight,Summer,M,Bronze,28.0,187.0,95.0,1994
Judo Men's Half-Lightweight,Summer,M,Bronze,25.0,169.5,66.0,1998
Judo Men's Half-Middleweight,Summer,M,Bronze,25.0,178.0,81.0,1996
Judo Men's Heavyweight,Summer,M,Bronze,25.0,192.0,120.0,1992
Judo Men's Lightweight,Summer,M,Bronze,25.0,173.5,71.5,1992
Judo Men's Middleweight,Summer,M,Bronze,25.0,179.5,86.0,1992
Judo Men's Open Class,Summer,M,Bronze,24.5,184.0,107.0,1976
Luge Men's Singles,Winter,M,Bronze,25.0,180.5,84.0,1990
Luge Mixed (Men)'s Doubles,Winter,M,Bronze,27.0,178.0,82.0,1992
Luge Mixed Team Relay,Winter,M,Bronze,30.0,180.0,90.0,2014
Modern Pentathlon Men's Individual,Summer,M,Bronze,27.0,180.0,72.0,1984
Modern Pentathlon Men's Team,Summer,M,Bronze,26.0,180.0,71.5,1972
Nordic Combined Men's Individual,Winter,M,Bronze,24.0,177.5,68.0,1986
"Nordic Combined Men's Large Hill / 10 km, Individual",Winter,M,Bronze,25.0,178.5,66.5,2012
"Nordic Combined Men's Normal Hill / 10 km, Individual",Winter,M,Bronze,20.0,165.0,61.0,2010
Nordic Combined Men's Sprint,Winter,M,Bronze,26.5,179.0,66.0,2004
Nordic Combined Men's Team,Winter,M,Bronze,24.0,180.0,67.0,2002
Rowing Men's Coxed Eights,Summer,M,Bronze,25.5,191.0,90.0,1988
Rowing Men's Coxed Fours,Summer,M,Bronze,24.0,187.0,89.0,1972
Rowing Men's Coxed Pairs,Summer,M,Bronze,26.0,186.0,83.0,1972
Rowing Men's Coxless Fours,Summer,M,Bronze,25.0,191.0,89.0,1984
Rowing Men's Coxless Pairs,Summer,M,Bronze,25.0,190.0,87.0,1980
Rowing Men's Double Sculls,Summer,M,Bronze,26.5,190.0,87.0,1986
Rowing Men's Lightweight Coxless Fours,Summer,M,Bronze,28.0,184.5,73.0,2006
Rowing Men's Lightweight Double Sculls,Summer,M,Bronze,27.0,182.0,71.0,2006
Rowing Men's Quadruple Sculls,Summer,M,Bronze,25.0,192.0,92.0,1996
Rowing Men's Single Sculls,Summer,M,Bronze,29.0,187.0,88.0,1980
Rugby Sevens Men's Rugby Sevens,Summer,M,Bronze,27.0,179.0,90.0,2016
Sailing Men's One Person Dinghy,Summer,M,Bronze,30.0,183.0,92.0,2004
Sailing Men's One Person Heavyweight Dinghy,Summer,M,Bronze,26.0,193.0,99.0,2014
Sailing Men's Skiff,Summer,M,Bronze,27.0,183.0,80.0,2014
Sailing Men's Two Person Dinghy,Summer,M,Bronze,25.5,179.5,71.5,2002
Sailing Men's Two Person Keelboat,Summer,M,Bronze,37.0,188.0,100.0,2008
Sailing Men's Windsurfer,Summer,M,Bronze,23.5,178.5,70.0,2002
Sailing Mixed 5.5 metres,Summer,M,Bronze,34.5,181.5,82.0,1964
Sailing Mixed 6 metres,Summer,M,Bronze,55.0,167.0,65.0,1952
Sailing Mixed Multihull,Summer,M,Bronze,30.0,182.0,73.0,1992
Sailing Mixed One Person Dinghy,Summer,M,Bronze,27.0,185.0,86.0,1980
Sailing Mixed Skiff,Summer,M,Bronze,29.0,179.0,73.5,2004
Sailing Mixed Three Person Keelboat,Summer,M,Bronze,31.5,183.0,83.5,1976
Sailing Mixed Two Person Dinghy,Summer,M,Bronze,24.5,176.0,67.5,1980
Sailing Mixed Two Person Heavyweight Dinghy,Summer,M,Bronze,30.0,180.0,78.0,1974
Sailing Mixed Two Person Keelboat,Summer,M,Bronze,34.0,183.5,88.0,1976
Sailing Mixed Windsurfer,Summer,M,Bronze,22.0,170.0,67.0,1988
"Shooting Men's Air Pistol, 10 metres",Summer,M,Bronze,33.0,178.0,84.0,2002
"Shooting Men's Air Rifle, 10 metres",Summer,M,Bronze,30.0,176.0,74.0,2000
Shooting Men's Double Trap,Summer,M,Bronze,30.5,179.0,78.5,2006
"Shooting Men's Free Pistol, 50 metres",Summer,M,Bronze,28.0,174.5,76.0,1990
"Shooting Men's Free Rifle, Three Positions, 300 metres",Summer,M,Bronze,37.0,170.0,85.0,1960
"Shooting Men's Rapid-Fire Pistol, 25 metres",Summer,M,Bronze,27.5,175.0,76.0,1994
"Shooting Men's Running Target, 10 metres",Summer,M,Bronze,27.0,177.5,80.0,1998
"Shooting Men's Running Target, 50 metres",Summer,M,Bronze,22.0,172.0,67.5,1986
Shooting Men's Skeet,Summer,M,Bronze,37.0,179.0,82.5,2006
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Summer,M,Bronze,33.0,178.0,78.0,1990
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Summer,M,Bronze,29.0,176.5,79.0,1994
Shooting Men's Trap,Summer,M,Bronze,32.5,176.5,84.0,2002
"Shooting Men's Trap, Team",Summer,M,Bronze,30.0,181.0,102.5,1924
"Shooting Mixed Free Pistol, 50 metres",Summer,M,Bronze,27.0,180.0,74.0,1974
"Shooting Mixed Free Rifle, Three Positions, 300 metres",Summer,M,Bronze,31.0,181.0,77.5,1970
"Shooting Mixed Rapid-Fire Pistol, 25 metres",Summer,M,Bronze,27.5,176.5,71.5,1974
"Shooting Mixed Running Target, 50 metres",Summer,M,Bronze,34.0,178.0,76.0,1976
Shooting Mixed Skeet,Summer,M,Bronze,25.0,174.0,75.0,1980
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Summer,M,Bronze,32.0,178.5,74.5,1974
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Summer,M,Bronze,28.0,177.0,78.0,1974
Shooting Mixed Trap,Summer,M,Bronze,32.0,183.0,86.0,1980
"Short Track Speed Skating Men's 1,000 metres",Winter,M,Bronze,24.0,173.0,68.0,2002
"Short Track Speed Skating Men's 1,500 metres",Winter,M,Bronze,27.0,173.5,70.0,2008
"Short Track Speed Skating Men's 5,000 metres Relay",Winter,M,Bronze,22.0,174.0,70.0,2002
Short Track Speed Skating Men's 500 metres,Winter,M,Bronze,22.0,173.0,70.5,2004
Skeleton Men's Skeleton,Winter,M,Bronze,30.5,183.5,79.5,2008
"Ski Jumping Men's Large Hill, Individual",Winter,M,Bronze,21.0,177.0,64.0,1992
"Ski Jumping Men's Large Hill, Team",Winter,M,Bronze,23.5,178.0,61.0,2002
"Ski Jumping Men's Normal Hill, Individual",Winter,M,Bronze,24.0,179.5,63.5,1996
Snowboarding Men's Boardercross,Winter,M,Bronze,21.0,183.0,82.0,2010
Snowboarding Men's Giant Slalom,Winter,M,Bronze,22.0,180.0,79.0,1998
Snowboarding Men's Halfpipe,Winter,M,Bronze,20.0,180.0,73.0,2006
Snowboarding Men's Parallel Giant Slalom,Winter,M,Bronze,30.0,185.0,85.0,2008
Snowboarding Men's Parallel Slalom,Winter,M,Bronze,28.0,186.0,90.0,2014
Snowboarding Men's Slopestyle,Winter,M,Bronze,20.0,180.0,72.0,2014
"Speed Skating Men's 1,000 metres",Winter,M,Bronze,25.0,180.0,78.0,1993
"Speed Skating Men's 1,500 metres",Winter,M,Bronze,26.0,180.0,76.0,1988
"Speed Skating Men's 10,000 metres",Winter,M,Bronze,27.0,182.0,82.0,1992
"Speed Skating Men's 5,000 metres",Winter,M,Bronze,24.0,183.5,77.5,1986
Speed Skating Men's 500 metres,Winter,M,Bronze,24.5,175.5,75.0,1990
Speed Skating Men's Team Pursuit (8 laps),Winter,M,Bronze,28.0,182.5,80.5,2010
"Swimming Men's 1,000 metres Freestyle",Summer,M,Bronze,18.0,187.0,83.0,1900
"Swimming Men's 1,500 metres Freestyle",Summer,M,Bronze,21.0,185.5,80.0,1982
Swimming Men's 10 kilometres Open Water,Summer,M,Bronze,22.0,183.0,72.0,2012
Swimming Men's 100 metres Backstroke,Summer,M,Bronze,20.5,190.5,77.5,1990
Swimming Men's 100 metres Breaststroke,Summer,M,Bronze,22.0,187.0,80.5,1994
Swimming Men's 100 metres Butterfly,Summer,M,Bronze,21.0,186.0,77.0,1988
Swimming Men's 100 metres Freestyle,Summer,M,Bronze,22.0,194.5,85.0,1994
Swimming Men's 200 metres Backstroke,Summer,M,Bronze,22.5,183.5,78.0,1990
Swimming Men's 200 metres Breaststroke,Summer,M,Bronze,22.0,182.0,75.0,1984
Swimming Men's 200 metres Butterfly,Summer,M,Bronze,21.0,184.0,77.0,1988
Swimming Men's 200 metres Freestyle,Summer,M,Bronze,21.0,192.0,88.0,1990
Swimming Men's 200 metres Individual Medley,Summer,M,Bronze,22.0,188.0,80.0,1996
Swimming Men's 4 x 100 metres Freestyle Relay,Summer,M,Bronze,22.0,190.0,85.0,1996
Swimming Men's 4 x 100 metres Medley Relay,Summer,M,Bronze,22.0,183.0,80.0,1988
Swimming Men's 4 x 200 metres Freestyle Relay,Summer,M,Bronze,22.0,185.5,80.0,1988
Swimming Men's 4 x 250 metres Freestyle Relay,Summer,M,Bronze,21.0,165.0,66.0,1906
Swimming Men's 400 metres Freestyle,Summer,M,Bronze,21.0,183.0,80.0,1984
Swimming Men's 400 metres Individual Medley,Summer,M,Bronze,20.5,184.0,74.0,1990
Swimming Men's 50 metres Freestyle,Summer,M,Bronze,24.5,193.0,83.0,2002
Swimming Men's 50 yard Freestyle,Summer,M,Bronze,19.0,183.0,70.0,1904
Table Tennis Men's Doubles,Summer,M,Bronze,24.0,174.0,66.0,1996
Table Tennis Men's Singles,Summer,M,Bronze,24.0,180.0,69.0,2000
Table Tennis Men's Team,Summer,M,Bronze,31.0,181.0,72.0,2012
Taekwondo Men's Featherweight,Summer,M,Bronze,24.5,181.0,68.0,2010
Taekwondo Men's Flyweight,Summer,M,Bronze,21.5,180.0,58.5,2010
Taekwondo Men's Heavyweight,Summer,M,Bronze,25.5,194.0,95.0,2010
Taekwondo Men's Welterweight,Summer,M,Bronze,24.0,191.0,80.0,2010
Tennis Men's Doubles,Summer,M,Bronze,25.0,186.0,79.0,1996
Tennis Men's Singles,Summer,M,Bronze,22.5,185.0,78.5,1998
"Tennis Men's Singles, Covered Courts",Summer,M,Bronze,28.0,188.0,84.0,1912
Tennis Mixed Doubles,Summer,M,Bronze,35.5,188.5,83.0,2014
Trampolining Men's Individual,Summer,M,Bronze,23.0,170.0,64.0,2008
Triathlon Men's Olympic Distance,Summer,M,Bronze,24.0,181.0,69.0,2008
Tug-Of-War Men's Tug-Of-War,Summer,M,Bronze,25.5,180.0,81.5,1905
Volleyball Men's Volleyball,Summer,M,Bronze,26.0,194.0,87.0,1992
Water Polo Men's Water Polo,Summer,M,Bronze,26.0,189.0,90.0,1988
Weightlifting Men's All-Around Dumbbell Contest,Summer,M,Bronze,25.0,170.0,75.0,1904
Weightlifting Men's Bantamweight,Summer,M,Bronze,23.5,159.0,56.0,1986
Weightlifting Men's Featherweight,Summer,M,Bronze,25.0,160.0,62.0,1986
Weightlifting Men's Flyweight,Summer,M,Bronze,25.0,153.0,56.0,1984
Weightlifting Men's Heavyweight,Summer,M,Bronze,26.0,180.0,105.5,1968
Weightlifting Men's Heavyweight I,Summer,M,Bronze,28.0,174.0,100.0,1988
Weightlifting Men's Heavyweight II,Summer,M,Bronze,29.0,181.0,110.0,1988
