Event,Season,Sex,Medal,Age,Height,Weight,Year
Cross Country Skiing Men's 30 km Skiathlon,Winter,M,Silver,32.0,183.0,75.0,2010
Cross Country Skiing Men's 4 x 10 kilometres Relay,Winter,M,Silver,28.0,180.0,72.0,1984
Cross Country Skiing Men's 50 kilometres,Winter,M,Silver,30.0,177.5,68.0,1982
Cross Country Skiing Men's Sprint,Winter,M,Silver,23.5,183.5,78.5,2008
Cross Country Skiing Men's Team Sprint,Winter,M,Silver,29.5,183.0,74.5,2010
Curling Men's Curling,Winter,M,Silver,31.0,180.0,85.0,2002
"Cycling Men's 1,000 metres Time Trial",Summer,M,Silver,20.5,181.0,79.0,1982
Cycling Men's 100 kilometres Team Time Trial,Summer,M,Silver,23.5,180.0,75.0,1976
"Cycling Men's 5,000 metres",Summer,M,Silver,20.0,188.0,83.0,1908
Cycling Men's BMX,Summer,M,Silver,23.0,187.0,93.0,2012
"Cycling Men's Individual Pursuit, 4,000 metres",Summer,M,Silver,23.5,183.0,76.0,1986
Cycling Men's Individual Time Trial,Summer,M,Silver,26.5,184.5,71.5,2006
Cycling Men's Keirin,Summer,M,Silver,25.0,179.0,87.0,2008
Cycling Men's Madison,Summer,M,Silver,34.5,179.0,69.5,2004
"Cycling Men's Mountainbike, Cross-Country",Summer,M,Silver,27.5,173.5,68.5,2006
Cycling Men's Omnium,Summer,M,Silver,25.5,172.0,64.0,2014
Cycling Men's Points Race,Summer,M,Silver,22.0,177.0,68.0,1996
"Cycling Men's Road Race, Individual",Summer,M,Silver,24.5,179.5,69.5,1986
"Cycling Men's Road Race, Team",Summer,M,Silver,20.0,175.0,69.0,1956
Cycling Men's Sprint,Summer,M,Silver,25.0,180.0,80.0,1980
"Cycling Men's Tandem Sprint, 2,000 metres",Summer,M,Silver,23.0,176.0,75.0,1964
"Cycling Men's Team Pursuit, 4,000 metres",Summer,M,Silver,23.0,180.0,75.0,1988
Cycling Men's Team Sprint,Summer,M,Silver,25.0,181.0,86.0,2008
Diving Men's Plain High,Summer,M,Silver,38.0,170.0,76.0,1912
Diving Men's Platform,Summer,M,Silver,21.5,170.5,62.0,1986
Diving Men's Springboard,Summer,M,Silver,23.5,170.0,65.0,1986
Diving Men's Synchronized Platform,Summer,M,Silver,20.5,172.5,68.0,2008
Diving Men's Synchronized Springboard,Summer,M,Silver,23.0,174.0,66.5,2008
"Equestrianism Men's Jumping, Team",Summer,M,Silver,31.5,171.5,69.0,1928
"Equestrianism Men's Three-Day Event, Individual",Summer,M,Silver,29.5,172.5,73.0,1956
"Equestrianism Men's Three-Day Event, Team",Summer,M,Silver,35.0,177.0,75.0,1956
"Equestrianism Mixed Dressage, Individual",Summer,M,Silver,44.0,183.0,72.0,1968
"Equestrianism Mixed Dressage, Team",Summer,M,Silver,40.0,178.0,75.0,1984
"Equestrianism Mixed Jumping, Individual",Summer,M,Silver,34.0,178.0,71.5,1990
"Equestrianism Mixed Jumping, Team",Summer,M,Silver,38.5,176.0,70.0,1984
"Equestrianism Mixed Three-Day Event, Individual",Summer,M,Silver,35.0,176.0,68.0,1980
"Equestrianism Mixed Three-Day Event, Team",Summer,M,Silver,33.0,180.0,74.0,1980
"Fencing Men's Foil, Individual",Summer,M,Silver,23.0,179.0,75.0,1986
"Fencing Men's Foil, Team",Summer,M,Silver,26.0,178.0,76.0,1984
"Fencing Men's Sabre, Individual",Summer,M,Silver,26.0,179.5,74.5,1982
"Fencing Men's Sabre, Team",Summer,M,Silver,27.0,179.0,75.0,1980
"Fencing Men's epee, Individual",Summer,M,Silver,27.5,184.0,76.0,1986
"Fencing Men's epee, Team",Summer,M,Silver,28.0,183.0,78.0,1976
Figure Skating Men's Singles,Winter,M,Silver,23.0,174.5,68.0,1990
Figure Skating Mixed Ice Dancing,Winter,M,Silver,26.5,176.5,71.5,1996
Figure Skating Mixed Pairs,Winter,M,Silver,23.0,180.0,74.0,1984
Figure Skating Mixed Team,Winter,M,Silver,26.0,177.0,75.0,2014
Football Men's Football,Summer,M,Silver,23.0,179.0,75.0,1988
Freestyle Skiing Men's Aerials,Winter,M,Silver,27.5,174.0,74.5,2004
Freestyle Skiing Men's Halfpipe,Winter,M,Silver,27.0,182.0,82.0,2014
Freestyle Skiing Men's Moguls,Winter,M,Silver,23.0,175.0,72.0,2002
Freestyle Skiing Men's Ski Cross,Winter,M,Silver,26.0,181.0,96.0,2012
Freestyle Skiing Men's Slopestyle,Winter,M,Silver,22.0,178.0,77.0,2014
Golf Men's Individual,Summer,M,Silver,40.0,188.0,86.0,2016
Gymnastics Men's Floor Exercise,Summer,M,Silver,23.5,166.0,61.5,1982
Gymnastics Men's Horizontal Bar,Summer,M,Silver,23.0,166.0,62.0,1988
Gymnastics Men's Horse Vault,Summer,M,Silver,23.5,166.0,62.0,1984
Gymnastics Men's Individual All-Around,Summer,M,Silver,24.0,163.0,58.0,1980
Gymnastics Men's Parallel Bars,Summer,M,Silver,24.0,166.0,59.0,1988
Gymnastics Men's Pommelled Horse,Summer,M,Silver,25.0,166.5,60.0,1988
Gymnastics Men's Rings,Summer,M,Silver,26.0,167.0,62.0,1992
Gymnastics Men's Team All-Around,Summer,M,Silver,22.0,167.0,61.0,1984
Handball Men's Handball,Summer,M,Silver,27.0,190.0,90.0,1996
Hockey Men's Hockey,Summer,M,Silver,26.0,179.0,75.0,1988
Ice Hockey Men's Ice Hockey,Summer,M,Silver,25.5,175.0,77.0,1920
Ice Hockey Men's Ice Hockey,Winter,M,Silver,26.0,181.0,85.0,1988
Judo Men's Extra-Lightweight,Summer,M,Silver,25.0,167.0,60.0,2000
Judo Men's Half-Heavyweight,Summer,M,Silver,26.0,185.0,95.0,1992
Judo Men's Half-Lightweight,Summer,M,Silver,26.0,169.5,66.0,1998
Judo Men's Half-Middleweight,Summer,M,Silver,24.5,178.5,78.0,1994
Judo Men's Heavyweight,Summer,M,Silver,27.0,190.0,120.0,1992
Judo Men's Lightweight,Summer,M,Silver,24.0,174.5,73.0,1996
Judo Men's Middleweight,Summer,M,Silver,25.0,178.0,90.0,1992
Judo Men's Open Class,Summer,M,Silver,28.0,185.0,112.0,1976
Luge Men's Singles,Winter,M,Silver,27.0,181.0,87.0,1990
Luge Mixed (Men)'s Doubles,Winter,M,Silver,26.5,178.0,80.5,1992
Luge Mixed Team Relay,Winter,M,Silver,22.0,185.0,95.0,2014
Modern Pentathlon Men's Individual,Summer,M,Silver,29.5,181.5,73.5,1986
Modern Pentathlon Men's Team,Summer,M,Silver,27.5,180.0,72.0,1974
Nordic Combined Men's Individual,Winter,M,Silver,23.0,176.0,67.0,1984
"Nordic Combined Men's Large Hill / 10 km, Individual",Winter,M,Silver,29.5,186.0,70.5,2012
"Nordic Combined Men's Normal Hill / 10 km, Individual",Winter,M,Silver,27.0,178.0,63.5,2012
Nordic Combined Men's Sprint,Winter,M,Silver,23.0,186.5,71.5,2004
Nordic Combined Men's Team,Winter,M,Silver,23.0,179.0,67.0,2002
Rowing Men's Coxed Eights,Summer,M,Silver,26.0,191.0,90.0,1988
Rowing Men's Coxed Fours,Summer,M,Silver,24.0,188.0,84.0,1972
Rowing Men's Coxed Pairs,Summer,M,Silver,25.0,187.0,87.5,1972
Rowing Men's Coxless Fours,Summer,M,Silver,26.0,190.0,88.0,1984
Rowing Men's Coxless Pairs,Summer,M,Silver,26.0,192.0,90.0,1988
Rowing Men's Double Sculls,Summer,M,Silver,26.0,190.0,89.5,1986
Rowing Men's Lightweight Coxless Fours,Summer,M,Silver,27.5,183.0,72.0,2006
Rowing Men's Lightweight Double Sculls,Summer,M,Silver,26.5,181.0,71.5,2006
Rowing Men's Quadruple Sculls,Summer,M,Silver,26.0,191.0,90.0,1996
Rowing Men's Single Sculls,Summer,M,Silver,28.0,192.0,88.0,1984
Rugby Men's Rugby,Summer,M,Silver,23.0,173.0,76.5,1924
Rugby Sevens Men's Rugby Sevens,Summer,M,Silver,25.0,180.5,90.5,2016
Sailing Men's One Person Dinghy,Summer,M,Silver,28.0,184.0,91.0,2004
Sailing Men's One Person Heavyweight Dinghy,Summer,M,Silver,35.5,187.5,100.0,2014
Sailing Men's Skiff,Summer,M,Silver,25.5,183.5,79.0,2014
Sailing Men's Two Person Dinghy,Summer,M,Silver,27.0,182.0,69.0,2002
Sailing Men's Two Person Keelboat,Summer,M,Silver,35.5,185.0,96.0,2008
Sailing Men's Windsurfer,Summer,M,Silver,28.5,176.0,71.0,2002
Sailing Mixed 5.5 metres,Summer,M,Silver,34.0,178.0,76.0,1964
Sailing Mixed 6 metres,Summer,M,Silver,26.0,168.0,64.5,1950
Sailing Mixed 6.5 metres,Summer,M,Silver,35.0,186.0,81.0,1920
Sailing Mixed Multihull,Summer,M,Silver,31.0,176.0,73.0,1992
Sailing Mixed One Person Dinghy,Summer,M,Silver,26.0,184.0,88.0,1980
Sailing Mixed Skiff,Summer,M,Silver,31.0,182.0,78.0,2004
