Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Figure Skating Mixed Ice Dancing,Winter,M,Silver,170447.5,85609.0,26.5,176.5,71.5,1996.0
Figure Skating Mixed Pairs,Winter,M,Silver,175270.0,88079.0,23.0,180.0,74.0,1984.0
Figure Skating Mixed Team,Winter,M,Silver,164125.0,82381.0,26.0,177.0,75.0,2014.0
Football Men's Football,Summer,M,Silver,121550.0,61458.0,23.0,179.0,75.0,1988.0
Freestyle Skiing Men's Aerials,Winter,M,Silver,148231.5,74491.0,27.5,174.0,74.5,2004.0
Freestyle Skiing Men's Halfpipe,Winter,M,Silver,200446.0,100655.0,27.0,182.0,82.0,2014.0
Freestyle Skiing Men's Moguls,Winter,M,Silver,131013.0,65947.0,23.0,175.0,72.0,2002.0
Freestyle Skiing Men's Ski Cross,Winter,M,Silver,90071.0,45434.0,26.0,181.0,96.0,2012.0
Freestyle Skiing Men's Slopestyle,Winter,M,Silver,116022.0,58760.0,22.0,178.0,77.0,2014.0
Golf Men's Individual,Summer,M,Silver,228899.0,114934.0,40.0,188.0,86.0,2016.0
Gymnastics Men's Floor Exercise,Summer,M,Silver,139400.5,69998.5,23.5,166.0,61.5,1982.0
Gymnastics Men's Horizontal Bar,Summer,M,Silver,148984.5,74815.0,23.0,166.0,62.0,1988.0
Gymnastics Men's Horse Vault,Summer,M,Silver,124274.5,62745.0,23.5,166.0,62.0,1984.0
Gymnastics Men's Individual All-Around,Summer,M,Silver,177416.0,89187.0,24.0,163.0,58.0,1980.0
Gymnastics Men's Parallel Bars,Summer,M,Silver,138149.0,69411.0,24.0,166.0,59.0,1988.0
Gymnastics Men's Pommelled Horse,Summer,M,Silver,207965.0,104437.5,25.0,166.5,60.0,1988.0
Gymnastics Men's Rings,Summer,M,Silver,235719.0,118186.0,26.0,167.0,62.0,1992.0
Gymnastics Men's Team All-Around,Summer,M,Silver,138424.0,69529.0,22.0,167.0,61.0,1984.0
Handball Men's Handball,Summer,M,Silver,132513.0,66698.0,27.0,190.0,90.0,1996.0
Hockey Men's Hockey,Summer,M,Silver,101608.0,51385.0,26.0,179.0,75.0,1988.0
Ice Hockey Men's Ice Hockey,Summer,M,Silver,79483.5,40359.5,25.5,175.0,77.0,1920.0
